,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
364,Victor Chust,22, D(C),,,20(5),1830,0.8,0.6,0.6,0.7,3.4,0.2,0.3,-,6.42
365,Mouctar Diakhaby,25, D(C),,,21(8),1945,1.2,1,0.9,0.5,2.9,0.3,0.6,2,6.42
366,Alex Tirlea,22, Defender,,,0(1),14,-,-,-,-,1,-,-,-,6.42
367,Gonzalo Verdú,33, D(C),,,17(3),1388,1,0.7,1.2,0.5,2.9,0.4,0.7,-,6.42
368,Antonio Sánchez,25, AM(CR),,,19(10),1622,1.8,1.1,1.4,-,0.9,1,0.1,-,6.42
369,Martín Aguirregabiria,26, D(LR),M(R),,17(7),1619,1.4,1,1,0.2,1.4,0.8,0.1,-,6.42
370,Cristian Tello,30, M(LR),,,5(18),807,0.7,0.4,0.4,-,0.3,0.8,-,-,6.42
371,Igor Zubeldia,25, D(C),DMC,,19(7),1649,0.8,1,1,0.5,2,0.2,0.2,-,6.41
372,Fernando Calero,26, D(C),,,13(3),1092,1.1,1,0.6,0.3,3.9,0.3,0.1,-,6.41
373,Marcos André,25, FW,,,8(21),963,0.5,0.2,0.8,-,0.4,0.4,-,-,6.41
374,Keidi Bare,24, DMC,,,18(7),1488,1.1,0.6,1,-,1,0.8,0.4,-,6.41
375,Moi Gómez,27, M(CLR),,,13(16),1280,0.5,0.2,0.8,-,0.2,0.4,-,-,6.41
376,Lee Kang-In,21, AM(CR),FW,,15(15),1411,0.4,0.2,0.8,-,0.1,0.8,-,1,6.41
377,Óscar Rodríguez,23, AM(CLR),,,4(7),416,0.4,0.5,0.5,-,0.5,0.1,-,-,6.41
378,Thiago Galhardo,32, AM(CL),FW,,9(22),1135,0.4,0.2,0.7,-,0.3,0.3,0.1,-,6.4
379,Víctor Díaz,33, D(CLR),,,19(4),1506,1,0.7,0.7,0.6,3,0.6,0.5,-,6.4
380,Joseba Zaldua,29, D(R),,,14(10),1173,1.3,0.5,0.8,0.2,1.3,0.3,0.2,-,6.4
381,Randy Nteka,24, AM(C),FW,,16(18),1462,0.7,0.2,1.2,-,0.3,0.3,-,-,6.4
382,Mario Gaspar,31, D(CR),M(R),,7(5),622,0.8,0.5,0.7,0.3,1.1,0.3,0.3,-,6.4
383,Ludwig Augustinsson,28, D(L),M(L),,9(10),790,0.9,0.3,0.7,-,0.9,0.3,0.2,-,6.4
384,Nemanja Radoja,29, DMC,,,17(2),1224,1.3,1.2,0.8,0.1,0.8,0.6,0.5,-,6.4
