,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,"112Federico DimarcoInter, 24, D(CL),M(L)","Federico Dimarco Inter, 24, D(CL),M(L)",13(19),1422,0.9,0.6,0.5,-,0.4,0.3,-,-,6.77
2,"113Ivan ProvedelSpezia, 28, GK","Ivan Provedel Spezia, 28, GK",31,2762,-,0.1,0.1,-,1.1,-,-,1,6.76
3,"114Maxime LopezSassuolo, 24, M(CR)","Maxime Lopez Sassuolo, 24, M(CR)",33(2),2942,2,1.2,1.1,-,1.0,1.5,0.2,-,6.76
4,"115Pablo MaríUdinese, 28, D(C)","Pablo Marí Udinese, 28, D(C)",15,1342,1.1,1.4,1.3,0.5,4.6,0.5,0.8,-,6.76
5,"116Cristiano BiraghiFiorentina, 29, D(L),M(L)","Cristiano Biraghi Fiorentina, 29, D(L),M(L)",37,3167,1,0.5,0.8,0.4,0.7,0.8,0.3,1,6.76
6,"117Merih DemiralAtalanta, 24, D(C)","Merih Demiral Atalanta, 24, D(C)",22(6),1916,1.1,2.1,1.0,0.4,2.3,0.5,0.5,-,6.75
7,"118Giacomo BonaventuraFiorentina, 32, M(CLR)","Giacomo Bonaventura Fiorentina, 32, M(CLR)",28(3),2280,1.1,0.5,1.0,-,0.3,0.8,0.1,-,6.75
8,"119Musa BarrowBologna, 23, AM(CL),FW","Musa Barrow Bologna, 23, AM(CL),FW",25(9),2147,0.4,0.2,0.3,-,0.1,0.4,-,-,6.75
9,"120Nikola MilenkovicFiorentina, 24, D(CR)","Nikola Milenkovic Fiorentina, 24, D(CR)",34,2932,1.6,1.1,1.4,1.3,2.7,0.1,0.4,-,6.75
0,"121Giacomo RaspadoriSassuolo, 22, AM(CL),FW","Giacomo Raspadori Sassuolo, 22, AM(CL),FW",32(4),2757,0.8,0.3,0.8,-,0.3,0.8,0.1,-,6.75
1,"122Emil BohinenSalernitana, 23, M(C)","Emil Bohinen Salernitana, 23, M(C)",8(3),699,1.4,1.1,1.5,0.1,1.2,0.9,0.3,-,6.75
2,"123Chris SmallingRoma, 32, D(CR)","Chris Smalling Roma, 32, D(CR)",23(4),2088,1.3,1.0,0.3,0.2,3.3,0.3,0.9,1,6.74
3,"124Alessio RomagnoliAC Milan, 27, D(CL)","Alessio Romagnoli AC Milan, 27, D(CL)",16(3),1408,1.3,1.0,0.9,0.3,2.3,0.2,0.6,-,6.74
