,Player,Player.1,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
4,"345Salis Abdul SamedClermont Foot, 22, DMC",Salis Abdul Samed Clermont Foot,22, DMC,,,29(2),2472,1,-,9,2,0.6,91,0.6,-,6.43
5,"346Sada ThioubSaint-Etienne, 27, M(LR)",Sada Thioub Saint-Etienne,27, M(LR),,,11(6),954,-,1,2,-,0.3,80,0.4,1,6.43
6,"347Gabriel GudmundssonLille, 23, D(L),M(LR)",Gabriel Gudmundsson Lille,23, D(L),M(LR),,15(15),1341,1,-,3,-,0.6,75.4,0.5,-,6.43
7,"348Azzedine OunahiAngers, 22, M(C)",Azzedine Ounahi Angers,22, M(C),,,16(16),1627,2,1,2,-,0.8,88,0.4,-,6.43
8,"349Georginio WijnaldumPSG, 31, M(CLR)",Georginio Wijnaldum PSG,31, M(CLR),,,18(13),1654,1,3,2,-,0.7,90.2,0.4,-,6.42
9,"350Burak YilmazLille, 36, AM(L),FW",Burak Yilmaz Lille,36, AM(L),FW,,25(6),2219,4,3,9,1,2.3,75.1,0.8,-,6.42
0,"351Boubacar TraoreMetz, 20, M(C)",Boubacar Traore Metz,20, M(C),,,17(10),1721,1,1,7,1,0.8,83.1,0.6,1,6.42
1,"352Matthieu DreyerLorient, 33, GK",Matthieu Dreyer Lorient,33, GK,,,16,1440,-,-,-,-,-,60.4,0.2,1,6.42
2,"353Dion LopyReims, 20, DMC",Dion Lopy Reims,20, DMC,,,19(7),1647,-,-,4,-,0.6,87,0.5,-,6.42
3,"354Mama BaldéTroyes, 26, D(R),M(CLR),FW",Mama Baldé Troyes,26, D(R),M(CLR),FW,20(10),1725,3,2,2,1,1.6,69.8,0.9,1,6.42
4,"355Sékou MaraBordeaux, 19, FW",Sékou Mara Bordeaux,19, FW,,,8(18),898,6,-,2,-,1.5,67.9,1.2,2,6.42
5,"356Nathanaël MbukuReims, 20, AM(CLR),FW",Nathanaël Mbuku Reims,20, AM(CLR),FW,,18(13),1423,2,1,1,-,1.1,75.4,0.3,-,6.42
6,"357Zaydou YoussoufSaint-Etienne, 22, M(CR)",Zaydou Youssouf Saint-Etienne,22, M(CR),,,18(12),1558,1,-,3,1,0.7,84.6,0.4,-,6.41
7,"358Xavier ChavalerinReims, 31, DMC,M(L)",Xavier Chavalerin Reims,31, DMC,M(L),,2(1),219,-,-,-,-,1,81,0.7,-,6.41
8,"359Djibril SidibéMonaco, 29, D(CLR),M(R)",Djibril Sidibé Monaco,29, D(CLR),M(R),,12(5),952,-,-,6,-,0.2,78.4,0.8,-,6.41
9,"360Junior SambiaMontpellier, 25, D(R),M(CR)",Junior Sambia Montpellier,25, D(R),M(CR),,16(14),1528,1,-,3,1,0.7,78.3,0.8,-,6.41
0,"361Lamine GueyeMetz, 24, AM(R),FW",Lamine Gueye Metz,24, AM(R),FW,,7(7),557,-,3,-,-,1,80.1,0.3,-,6.41
1,"362Cédric BakambuMarseille, 31, AM(LR),FW",Cédric Bakambu Marseille,31, AM(LR),FW,,5(7),356,4,-,1,-,1.6,77.8,0.6,-,6.41
2,"363Gideon MensahBordeaux, 23, D(L),M(L)",Gideon Mensah Bordeaux,23, D(L),M(L),,13(10),1206,-,2,1,1,0.1,84.9,0.7,-,6.41
3,"364Houboulang MendesLorient, 24, D(CR)",Houboulang Mendes Lorient,24, D(CR),,,36,3223,-,1,3,1,0.6,83.9,0.8,-,6.41
4,"365Paul BernardoniSaint-Etienne, 25, GK",Paul Bernardoni Saint-Etienne,25, GK,,,19,1710,-,-,-,-,-,45.9,0.3,-,6.41
5,"366Etienne GreenSaint-Etienne, 21, GK",Etienne Green Saint-Etienne,21, GK,,,15,1200,-,-,1,1,-,66.7,0.1,-,6.41
6,"367Philippe SandlerTroyes, 25, D(C)",Philippe Sandler Troyes,25, D(C),,,1(1),70,-,-,-,-,-,76.9,1.5,-,6.4
7,"368Jodel DossouClermont Foot, 30, AM(R)",Jodel Dossou Clermont Foot,30, AM(R),,,23(12),2017,3,1,4,-,1.5,75.8,0.2,1,6.4
8,"369Ouparine DjocoClermont Foot, 24, GK",Ouparine Djoco Clermont Foot,24, GK,,,23(1),2113,-,-,1,-,-,62,0.1,2,6.4
9,"370Massadio HaïdaraLens, 29, D(CL),M(L)",Massadio Haïdara Lens,29, D(CL),M(L),,12(8),1078,1,1,5,1,0.3,85.2,0.7,-,6.4
0,"371Bradley LockoReims, 20, M(L)",Bradley Locko Reims,20, M(L),,,11(13),1011,1,1,4,-,0.3,77.7,0.5,-,6.4
1,"372Hatem Ben ArfaLille, 35, M(CR),FW",Hatem Ben Arfa Lille,35, M(CR),FW,,4(3),314,-,1,1,-,0.4,88.9,-,-,6.4
2,"373Morgan SchneiderlinNice, 32, DMC",Morgan Schneiderlin Nice,32, DMC,,,5(15),639,-,1,1,1,0.1,85.5,0.6,-,6.4
3,"374Yusuf YaziciLille, 25, M(CLR),FW",Yusuf Yazici Lille,25, M(CLR),FW,,5(10),501,1,1,3,-,0.7,79.5,0.3,1,6.4
4,"375Youssouf KonéTroyes, 26, D(CL),M(L)",Youssouf Koné Troyes,26, D(CL),M(L),,11(10),981,-,1,2,1,0.4,77.3,0.3,1,6.39
5,"376Jérémy Le DouaronBrest, 24, AM(L),FW",Jérémy Le Douaron Brest,24, AM(L),FW,,16(16),1446,5,3,-,-,1.1,73.5,1.2,1,6.39
6,"377Jean Eudes AholouStrasbourg, 28, DMC",Jean Eudes Aholou Strasbourg,28, DMC,,,11(14),1002,1,1,2,-,0.7,83,0.6,-,6.39
7,"378Sébastien CorchiaNantes, 31, D(R),M(R)",Sébastien Corchia Nantes,31, D(R),M(R),,13(15),1319,-,3,-,1,0.4,74,0.6,-,6.39
8,"379Pierrick CapelleAngers, 35, D(L),M(CLR)",Pierrick Capelle Angers,35, D(L),M(CLR),,12(18),1187,-,1,2,-,0.6,82,0.6,-,6.39
9,"380Eliaquim MangalaSaint-Etienne, 31, D(C)",Eliaquim Mangala Saint-Etienne,31, D(C),,,14,1183,1,-,9,-,0.2,85.1,2.6,-,6.39
0,"381Jim AllevinahClermont Foot, 27, AM(L)",Jim Allevinah Clermont Foot,27, AM(L),,,13(17),1481,1,2,1,-,1.4,81.1,0.6,-,6.38
1,"382Moritz JenzLorient, 23, D(C)",Moritz Jenz Lorient,23, D(C),,,16(1),1384,1,-,3,1,0.5,84.7,1.8,-,6.38
2,"383Nordine KandilStrasbourg, 20, Midfielder",Nordine Kandil Strasbourg,20, Midfielder,,,0(5),85,-,1,1,-,0.2,79,0.2,-,6.38
3,"384Calvin StengsNice, 23, AM(CR)",Calvin Stengs Nice,23, AM(CR),,,11(13),1071,1,1,1,-,0.9,76.4,0.1,-,6.38
4,"385Ibrahima NianeMetz, 23, AM(L),FW",Ibrahima Niane Metz,23, AM(L),FW,,20(6),1592,3,1,2,1,1.7,71.3,2.5,-,6.38
5,"386Vincent ManceauAngers, 32, D(CLR)",Vincent Manceau Angers,32, D(CLR),,,25(3),2359,-,-,-,1,0.1,88.6,0.6,-,6.38
6,"387Charles TraoréNantes, 30, D(L),M(L)",Charles Traoré Nantes,30, D(L),M(L),,7(9),716,-,-,3,-,-,79,0.9,-,6.38
7,"388Éric EbimbePSG, 21, AM(CR)",Éric Ebimbe PSG,21, AM(CR),,,4(6),315,-,-,2,-,0.4,89.7,0.1,-,6.38
8,"389Harold-Desty MoukoudiSaint-Etienne, 24, D(C)",Harold-Desty Moukoudi Saint-Etienne,24, D(C),,,17(7),1658,-,-,3,-,0.3,89,1.2,-,6.37
9,"390Marcus CocoNantes, 25, M(LR),FW",Marcus Coco Nantes,25, M(LR),FW,,9(15),925,1,1,1,1,0.5,74.6,1.3,-,6.37
0,"391Alexis Claude MauriceNice, 24, AM(CL)",Alexis Claude Maurice Nice,24, AM(CL),,,0(10),200,-,2,1,-,0.6,86.8,0.1,-,6.37
1,"392Billal BrahimiAngers, 22, Forward",Billal Brahimi Angers,22, Forward,,,3(6),335,-,1,-,-,0.7,76.4,0.2,-,6.37
2,"393Jimmy GiraudonTroyes, 30, D(C)",Jimmy Giraudon Troyes,30, D(C),,,18(1),1620,-,-,3,1,-,85.6,0.9,-,6.36
3,"394Opa NguetteMetz, 27, AM(LR),FW",Opa Nguette Metz,27, AM(LR),FW,,10(16),1043,2,2,1,-,0.9,74,0.8,-,6.36
4,"395Samuel MoutoussamyNantes, 25, M(CL)",Samuel Moutoussamy Nantes,25, M(CL),,,16(14),1503,-,1,5,-,0.5,85.3,0.3,-,6.36
5,"396Abdu ContéTroyes, 24, D(L),M(L)",Abdu Conté Troyes,24, D(L),M(L),,17,1356,-,1,2,-,0.3,73.4,0.5,-,6.36
6,"397Eliot MatazoMonaco, 20, DMC",Eliot Matazo Monaco,20, DMC,,,8(10),783,-,-,1,-,0.2,87,0.4,-,6.36
7,"398Ricardo MangasBordeaux, 24, D(CL),M(L)",Ricardo Mangas Bordeaux,24, D(CL),M(L),,27(2),2357,3,1,2,-,0.6,78.9,0.9,-,6.35
8,"399Mauro IcardiPSG, 29, FW",Mauro Icardi PSG,29, FW,,,10(14),1019,4,-,1,-,1.2,80.5,0.2,-,6.35
9,"400Abdel Jalil Zaim Idriss MedioubBordeaux, 24, D(C)",Abdel Jalil Zaim Idriss Medioub Bordeaux,24, D(C),,,6(4),620,-,-,-,-,0.3,80.4,1.4,-,6.35
0,"401Yoann TouzgharTroyes, 35, FW",Yoann Touzghar Troyes,35, FW,,,16(12),1462,4,-,-,-,1,80.3,0.9,-,6.35
1,"402Majeed WarisStrasbourg, 30, AM(LR),FW",Majeed Waris Strasbourg,30, AM(LR),FW,,2(13),316,2,-,1,-,0.5,76.2,0.1,-,6.35
2,"403Yvann MaçonSaint-Etienne, 23, D(LR),M(R)",Yvann Maçon Saint-Etienne,23, D(LR),M(R),,19(3),1538,-,-,7,-,0.7,75.5,0.7,1,6.34
3,"404Eric N'joTroyes, 18, Forward",Eric N'jo Troyes,18, Forward,,,0(2),95,-,-,-,-,-,81.5,0.5,-,6.34
4,"405JemersonMetz, 29, D(CR),DMC",Jemerson Metz,29, D(CR),DMC,,15,1207,-,-,3,2,0.3,85,0.9,1,6.34
5,"406Yasser LarouciTroyes, 21, Defender",Yasser Larouci Troyes,21, Defender,,,2(10),335,-,-,1,-,0.3,81.3,0.3,-,6.34
6,"407Ignatius GanagoLens, 23, AM(LR),FW",Ignatius Ganago Lens,23, AM(LR),FW,,11(17),1020,5,1,2,-,1.1,74.1,0.7,-,6.34
7,"408Fraser HornbyReims, 22, FW",Fraser Hornby Reims,22, FW,,,4(4),349,-,-,1,-,0.8,56.3,2,-,6.34
8,"409Timothée PembéléBordeaux, 19, D(R),M(R)",Timothée Pembélé Bordeaux,19, D(R),M(R),,17(9),1421,1,1,3,-,0.7,73,0.4,-,6.34
9,"410Roli Pereira De SaNantes, 25, M(C)",Roli Pereira De Sa Nantes,25, M(C),,,5(12),571,-,-,1,-,0.3,82.9,0.4,1,6.33
0,"411Mathieu CafaroReims, 25, AM(CLR)",Mathieu Cafaro Reims,25, AM(CLR),,,3(1),194,-,-,2,-,1.5,60.9,0.8,-,6.33
1,"412Jeff Reine-AdélaïdeLyon, 24, AM(CLR),FW",Jeff Reine-Adélaïde Lyon,24, AM(CLR),FW,,1(9),192,-,1,-,-,0.3,83.9,-,-,6.33
2,"413Stéphane BahokenAngers, 30, FW",Stéphane Bahoken Angers,30, FW,,,12(17),1096,3,1,-,-,0.8,74.8,0.8,-,6.33
3,"414Mohamed-Ali ChoAngers, 18, FW",Mohamed-Ali Cho Angers,18, FW,,,21(11),1847,4,1,2,2,1.3,75.3,0.5,1,6.33
4,"415Evann GuessandNice, 20, Forward",Evann Guessand Nice,20, Forward,,,2(18),424,1,2,3,-,0.6,68,0.6,-,6.32
5,"416Saîf-Eddine KhaouiClermont Foot, 27, AM(CR)",Saîf-Eddine Khaoui Clermont Foot,27, AM(CR),,,9(14),926,1,-,1,-,0.8,77.2,-,-,6.32
6,"417Jean-Phillipe KrassoSaint-Etienne, 24, FW",Jean-Phillipe Krasso Saint-Etienne,24, FW,,,5(11),448,1,1,-,-,0.8,63.6,1.1,-,6.32
7,"418Julien FaussurierBrest, 35, D(LR),M(R)",Julien Faussurier Brest,35, D(LR),M(R),,4(12),483,-,1,1,-,0.3,75.1,0.3,-,6.32
8,"419Lebo MothibaTroyes, 26, FW",Lebo Mothiba Troyes,26, FW,,,5(8),522,2,-,1,-,0.5,80.3,0.6,-,6.32
9,"420Irvin CardonaBrest, 24, AM(L),FW",Irvin Cardona Brest,24, AM(L),FW,,13(19),1333,4,2,2,-,0.8,68.4,0.4,-,6.32
0,"421Dylan ChambostTroyes, 24, M(C)",Dylan Chambost Troyes,24, M(C),,,9(10),753,-,1,-,-,0.5,79.5,0.7,-,6.32
1,"422Dango OuattaraLorient, 20, AM(R)",Dango Ouattara Lorient,20, AM(R),,,7(18),802,1,2,4,-,1,65.3,0.8,-,6.31
2,"423Rayan CherkiLyon, 18, AM(R)",Rayan Cherki Lyon,18, AM(R),,,3(13),432,-,1,1,-,0.9,79.4,0.1,-,6.31
3,"424Islam SlimaniLyon, 33, FW",Islam Slimani Lyon,33, FW,,,6(6),577,1,1,3,-,1,78.1,0.9,-,6.31
4,"425M'Baye NiangBordeaux, 27, AM(LR),FW",M'Baye Niang Bordeaux,27, AM(LR),FW,,7(15),769,3,1,3,-,1.2,59.5,1.4,-,6.3
5,"426Mitchell van BergenReims, 22, AM(LR),FW",Mitchell van Bergen Reims,22, AM(LR),FW,,11(9),987,-,-,1,-,0.6,72.5,0.2,-,6.3
6,"427Angel GomesLille, 21, AM(CL),FW",Angel Gomes Lille,21, AM(CL),FW,,12(12),955,1,1,3,-,0.6,80.2,0.2,-,6.3
7,"428Cesc FàbregasMonaco, 35, M(CL),FW",Cesc Fàbregas Monaco,35, M(CL),FW,,0(2),36,-,-,-,-,-,80.9,-,-,6.3
8,"429Deiver MachadoLens, 28, M(L)",Deiver Machado Lens,28, M(L),,,5(17),513,-,1,1,-,0.1,85.3,0.3,-,6.29
9,"430Yvan NeyouSaint-Etienne, 25, DMC",Yvan Neyou Saint-Etienne,25, DMC,,,12(4),941,-,-,2,1,0.4,85,0.4,-,6.29
0,"431Enzo EbosseAngers, 23, D(C)",Enzo Ebosse Angers,23, D(C),,,21(6),1888,-,-,1,-,0.1,85.1,0.9,-,6.29
1,"432Cheick Tidiane SabalyMetz, 23, Forward",Cheick Tidiane Sabaly Metz,23, Forward,,,2(4),149,-,-,-,-,0.3,88.6,-,-,6.29
2,"433Quentin BoisgardLorient, 25, AM(CLR)",Quentin Boisgard Lorient,25, AM(CLR),,,9(16),953,1,1,3,-,0.6,77.3,0.4,-,6.28
3,"434Paul NardiLorient, 28, GK",Paul Nardi Lorient,28, GK,,,22,1980,-,-,1,-,-,49.1,0.1,-,6.28
4,"435Lucas Gourna-DouathSaint-Etienne, 18, DMC",Lucas Gourna-Douath Saint-Etienne,18, DMC,,,20(11),1808,1,-,7,-,0.4,88.5,0.4,-,6.28
5,"436Sambou SissokoReims, 23, Midfielder",Sambou Sissoko Reims,23, Midfielder,,,0(8),170,-,-,-,-,0.4,69.6,0.5,-,6.28
6,"437Jean-Claude BillongClermont Foot, 28, D(C)",Jean-Claude Billong Clermont Foot,28, D(C),,,10(5),977,-,-,2,-,0.3,85.2,2,-,6.28
7,"438Tom LacouxBordeaux, 20, DMC,M(R)",Tom Lacoux Bordeaux,20, DMC,M(R),,11(2),915,-,-,5,-,0.2,79.3,0.3,-,6.28
8,"439Igor SilvaLorient, 25, D(R),M(R)",Igor Silva Lorient,25, D(R),M(R),,17(11),1572,-,-,3,-,0.5,78.6,0.4,-,6.28
9,"440Álvaro GonzálezMarseille, 32, D(C)",Álvaro González Marseille,32, D(C),,,5(1),451,-,-,1,-,0.3,95.4,0.7,-,6.28
0,"441Karim AzamoumTroyes, 32, M(CR)",Karim Azamoum Troyes,32, M(CR),,,4(3),387,-,-,2,-,0.4,70,1,-,6.27
1,"442Papa Ndiaga YadeMetz, 22, AM(L)",Papa Ndiaga Yade Metz,22, AM(L),,,5(13),690,-,1,3,-,0.4,78.7,0.2,-,6.27
2,"443N'Dri KoffiReims, 20, Forward",N'Dri Koffi Reims,20, Forward,,,3(7),374,1,-,1,-,0.9,63.4,0.6,1,6.27
3,"444Kevin N'DoramMetz, 26, DMC",Kevin N'Doram Metz,26, DMC,,,16(3),1239,-,-,5,-,0.4,84.2,0.8,-,6.27
4,"445Danijel PetkovicAngers, 29, GK",Danijel Petkovic Angers,29, GK,,,15,1350,-,-,1,-,-,72.5,0.3,-,6.26
5,"446Tinotenda KadewereLyon, 26, AM(R),FW",Tinotenda Kadewere Lyon,26, AM(R),FW,,3(12),498,1,-,-,1,1.2,83.8,0.4,-,6.26
6,"447Hianga'a M'BockBrest, 22, DMC",Hianga'a M'Bock Brest,22, DMC,,,9(5),798,-,-,3,-,0.6,89.4,0.8,-,6.25
7,"448Amadou Salif MbengueMetz, 20, Midfielder",Amadou Salif Mbengue Metz,20, Midfielder,,,5(7),606,-,-,4,-,0.3,83.9,0.4,-,6.25
8,"449VágnerMetz, 26, FW",Vágner Metz,26, FW,,,0(3),84,-,-,1,-,0.3,65.5,-,-,6.25
9,"450Romain HamoumaSaint-Etienne, 35, M(CLR),FW",Romain Hamouma Saint-Etienne,35, M(CLR),FW,,7(15),883,2,1,2,-,1,77.4,0.2,-,6.25
0,"451Eduardo CamavingaRennes, 19, DMC",Eduardo Camavinga Rennes,19, DMC,,,1(3),142,-,-,-,-,-,90.3,0.8,-,6.25
1,"452Romain Del CastilloRennes, 26, AM(LR),FW",Romain Del Castillo Rennes,26, AM(LR),FW,,0(3),26,-,-,-,-,0.3,75,-,-,6.25
2,"453Billal BrahimiNice, 22, Forward",Billal Brahimi Nice,22, Forward,,,2(9),371,-,-,1,-,0.4,80.3,0.2,-,6.24
3,"454Jean-Armel Kana-BiyikMetz, 32, D(C)",Jean-Armel Kana-Biyik Metz,32, D(C),,,8(2),667,-,-,1,-,0.1,86.7,0.4,-,6.24
4,"455Adil AouchicheSaint-Etienne, 19, AM(CL)",Adil Aouchiche Saint-Etienne,19, AM(CL),,,11(24),1068,-,4,2,-,0.6,81.3,0.3,-,6.24
5,"456Ambroise OyongoMontpellier, 30, D(LR),M(L)",Ambroise Oyongo Montpellier,30, D(LR),M(L),,7(4),657,1,-,5,-,0.5,75.7,0.4,-,6.24
6,"457MexerBordeaux, 33, D(C)",Mexer Bordeaux,33, D(C),,,14(2),1227,1,-,2,-,0.3,84.5,1.4,-,6.24
7,"458El Chadaille BitshiabuPSG, 17, Defender",El Chadaille Bitshiabu PSG,17, Defender,,,0(1),4,-,-,-,-,-,100,1,-,6.24
8,"459Sofiane AlakouchMetz, 23, D(R)",Sofiane Alakouch Metz,23, D(R),,,0(4),157,-,-,1,-,0.3,79.8,-,-,6.24
9,"460Thibault KlidjeBordeaux, 20, Forward",Thibault Klidje Bordeaux,20, Forward,,,0(5),81,-,-,-,-,0.2,78.6,0.2,-,6.23
0,"461Domagoj BradaricLille, 22, D(L)",Domagoj Bradaric Lille,22, D(L),,,2(13),409,-,-,2,-,0.1,78.9,0.4,-,6.23
1,"462Brandon DominguesTroyes, 22, Midfielder",Brandon Domingues Troyes,22, Midfielder,,,1(10),223,1,-,-,-,0.4,73,-,-,6.23
2,"463Brayann PereiraLens, 19, Defender",Brayann Pereira Lens,19, Defender,,,0(2),13,-,-,-,-,-,86.7,-,-,6.23
3,"464Kaj SierhuisReims, 24, FW",Kaj Sierhuis Reims,24, FW,,,1(1),80,-,-,-,-,1,82.6,0.5,-,6.23
4,"465Aïmen MoueffekSaint-Etienne, 21, DMC",Aïmen Moueffek Saint-Etienne,21, DMC,,,4(10),426,-,-,1,-,0.3,88.4,0.6,-,6.23
5,"466Gabriel SilvaSaint-Etienne, 31, D(LR),M(L)",Gabriel Silva Saint-Etienne,31, D(LR),M(L),,9(4),714,-,-,1,-,0.1,73.9,0.5,-,6.23
6,"467Sambou SoumanoLorient, 21, Forward",Sambou Soumano Lorient,21, Forward,,,4(17),435,3,-,1,-,0.9,60.2,0.9,-,6.23
7,"468Myron BoaduMonaco, 21, FW",Myron Boadu Monaco,21, FW,,,7(24),945,4,1,-,-,0.7,76.6,0.5,1,6.22
8,"469Waniss TaibiAngers, 20, Midfielder",Waniss Taibi Angers,20, Midfielder,,,1(6),127,-,-,2,-,0.1,77.9,0.4,-,6.22
9,"470Bradley BarcolaLyon, 19, Forward",Bradley Barcola Lyon,19, Forward,,,2(9),258,-,1,-,-,0.5,70.1,0.5,-,6.21
0,"471Patrick BergLens, 24, M(C)",Patrick Berg Lens,24, M(C),,,2(12),297,-,-,-,-,0.1,83.2,0.2,-,6.21
1,"472Léo LeroyMontpellier, 22, DMC",Léo Leroy Montpellier,22, DMC,,,7(17),620,-,-,3,-,0.3,80.3,0.5,-,6.21
2,"473Bryan Djile NokoueSaint-Etienne, 20, Defender",Bryan Djile Nokoue Saint-Etienne,20, Defender,,,0(2),56,-,-,-,-,-,65,-,-,6.21
3,"474William MikelbrencisMetz, 18, M(R)",William Mikelbrencis Metz,18, M(R),,,8(1),615,-,1,-,-,0.7,75,0.1,-,6.2
4,"475Issouf SissokhoBordeaux, 20, M(C)",Issouf Sissokho Bordeaux,20, M(C),,,6(1),439,-,-,1,1,0.4,87,0.1,-,6.2
5,"476Adrian GrbicLorient, 25, FW",Adrian Grbic Lorient,25, FW,,,4(12),510,1,-,-,-,0.8,63.8,0.9,-,6.2
6,"477Felix LemarechalMonaco, 18, Midfielder",Felix Lemarechal Monaco,18, Midfielder,,,0(1),8,-,-,-,-,-,75,-,-,6.2
7,"478Jimmy BriandBordeaux, 36, M(LR),FW",Jimmy Briand Bordeaux,36, M(LR),FW,,1(16),212,2,1,1,-,0.6,84,0.4,-,6.2
8,"479Suk Hyun-JunTroyes, 30, FW",Suk Hyun-Jun Troyes,30, FW,,,0(9),145,-,-,-,-,0.9,83.8,1.1,-,6.19
9,"480Yannis M'BembaNantes, 20, Defender",Yannis M'Bemba Nantes,20, Defender,,,0(2),4,-,-,-,-,1,100,1,-,6.19
0,"481Jordan TellClermont Foot, 24, Forward",Jordan Tell Clermont Foot,24, Forward,,,1(14),279,1,1,1,-,0.5,85.9,0.3,-,6.19
1,"482Habib DiarraStrasbourg, 18, Midfielder",Habib Diarra Strasbourg,18, Midfielder,,,1(3),107,-,-,1,-,-,85.2,0.5,-,6.18
2,"483Leny YoroLille, 16, Defender",Leny Yoro Lille,16, Defender,,,0(1),12,-,-,-,-,-,100,-,-,6.17
3,"484Mamadou FofanaMetz, 24, D(C),DMC",Mamadou Fofana Metz,24, D(C),DMC,,0(1),32,-,-,-,-,-,60,-,-,6.17
4,"485Romain SalinRennes, 37, GK",Romain Salin Rennes,37, GK,,,1,90,-,-,-,-,-,88,1,-,6.17
5,"486Arial MendyClermont Foot, 27, D(L)",Arial Mendy Clermont Foot,27, D(L),,,9(9),791,-,-,1,-,0.6,83.2,0.3,-,6.17
6,"487Grejohn KyeiClermont Foot, 26, FW",Grejohn Kyei Clermont Foot,26, FW,,,4(10),391,-,1,1,-,0.8,69.6,1,-,6.17
7,"488Karol FilaStrasbourg, 23, D(R)",Karol Fila Strasbourg,23, D(R),,,7(9),562,-,-,3,-,-,82.5,0.4,-,6.17
8,"489Ismaël BouraLens, 21, M(L)",Ismaël Boura Lens,21, M(L),,,1(4),95,-,-,-,-,0.2,86.8,0.2,-,6.17
9,"490Jérémy PiedLille, 33, D(LR),M(CLR)",Jérémy Pied Lille,33, D(LR),M(CLR),,0(2),12,-,-,-,-,-,70,0.5,-,6.17
0,"491Valon BerishaReims, 29, M(CL)",Valon Berisha Reims,29, M(CL),,,5(8),456,-,1,-,1,0.3,73,0.3,-,6.16
1,"492Yannick CahuzacLens, 37, DMC",Yannick Cahuzac Lens,37, DMC,,,7(11),613,-,-,1,1,0.1,86.3,0.3,-,6.16
2,"493Benoît CostilBordeaux, 34, GK",Benoît Costil Bordeaux,34, GK,,,25,2250,-,-,1,-,-,67.2,0.3,1,6.16
3,"494Nicholas GioacchiniMontpellier, 21, Forward",Nicholas Gioacchini Montpellier,21, Forward,,,3(25),476,-,2,-,-,0.4,63.8,0.7,-,6.16
4,"495Nemanja RadonjicMarseille, 26, M(LR)",Nemanja Radonjic Marseille,26, M(LR),,,0(1),17,-,-,-,-,-,90,-,-,6.16
5,"496Renaud EmondNantes, 30, FW",Renaud Emond Nantes,30, FW,,,2(4),189,-,-,-,-,0.2,62.5,0.8,-,6.16
6,"497Willem GeubbelsNantes, 20, Forward",Willem Geubbels Nantes,20, Forward,,,4(18),532,2,1,1,-,0.5,73.1,0.5,-,6.15
7,"498Gerson RodriguesTroyes, 26, AM(CL),FW",Gerson Rodrigues Troyes,26, AM(CL),FW,,9(3),849,1,1,6,-,1.9,73.7,1.3,-,6.15
8,"499Darío BenedettoMarseille, 32, FW",Darío Benedetto Marseille,32, FW,,,0(2),52,-,-,-,-,1.5,75,1,-,6.15
9,"500Luis HenriqueMarseille, 20, M(L)",Luis Henrique Marseille,20, M(L),,,7(13),695,-,1,-,-,0.3,79.7,-,-,6.15
0,"501Corentin JeanLens, 26, AM(LR),FW",Corentin Jean Lens,26, AM(LR),FW,,1(16),242,1,-,2,-,0.4,77.4,0.2,-,6.14
1,"502Lesley UgochukwuRennes, 18, Midfielder",Lesley Ugochukwu Rennes,18, Midfielder,,,3(15),398,1,-,2,-,0.2,87,0.2,-,6.14
2,"503FransérgioBordeaux, 31, M(C),FW",Fransérgio Bordeaux,31, M(C),FW,,14(12),1255,-,1,8,-,0.5,72,1,-,6.14
3,"504Enzo Tchato MbiayiMontpellier, 19, Defender",Enzo Tchato Mbiayi Montpellier,19, Defender,,,0(1),7,-,-,-,-,-,100,-,-,6.14
4,"505Louis MafoutaMetz, 27, FW",Louis Mafouta Metz,27, FW,,,5(10),524,2,-,-,-,0.6,78.6,0.7,-,6.14
5,"506Bakary SakoSaint-Etienne, 34, M(L),FW",Bakary Sako Saint-Etienne,34, M(L),FW,,1(6),151,-,-,-,-,0.9,71.8,0.6,-,6.14
6,"507Abdoulaye BambaAngers, 32, D(LR),M(R)",Abdoulaye Bamba Angers,32, D(LR),M(R),,4(6),455,-,-,1,-,0.1,77.9,0.6,-,6.13
7,"508Chrislain MatsimaMonaco, 20, Defender",Chrislain Matsima Monaco,20, Defender,,,1(6),131,-,-,-,-,0.1,83.9,0.6,-,6.13
8,"509Dion Moisés SahiStrasbourg, 20, Forward",Dion Moisés Sahi Strasbourg,20, Forward,,,0(8),121,-,-,-,-,0.6,85.4,0.1,-,6.13
9,"510Cheikh NiasseLille, 22, Midfielder",Cheikh Niasse Lille,22, Midfielder,,,0(4),40,-,-,1,-,-,83.3,1,-,6.13
0,"511Nassim ChadliTroyes, 20, Midfielder",Nassim Chadli Troyes,20, Midfielder,,,1(7),92,-,-,1,-,0.3,66.7,0.1,-,6.13
1,"512Mahamé SibyStrasbourg, 25, Midfielder",Mahamé Siby Strasbourg,25, Midfielder,,,0(2),15,-,-,-,-,-,50,1,-,6.13
2,"513Rafiki SaidBrest, 22, Midfielder",Rafiki Said Brest,22, Midfielder,,,0(14),110,-,-,1,-,0.4,74.5,0.3,-,6.12
3,"514Djeidi GassamaPSG, 18, Forward",Djeidi Gassama PSG,18, Forward,,,0(1),1,-,-,-,-,-,100,-,-,6.12
4,"515Thomas FontaineLorient, 31, D(C)",Thomas Fontaine Lorient,31, D(C),,,2,168,-,-,1,-,-,86,1,-,6.12
