,Player,Player.1,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
8,"139César AzpilicuetaChelsea, 32, D(CLR),M(R)",César Azpilicueta Chelsea,32, D(CLR),M(R),,24(3),2075,1,2,3,-,0.4,85.7,1.7,-,6.81
9,"140José SáWolves, 29, GK",José Sá Wolves,29, GK,,,37,3286,-,1,3,-,-,63,0.4,5,6.81
0,"141Nick PopeBurnley, 30, GK",Nick Pope Burnley,30, GK,,,36,3240,-,-,1,-,-,44.5,0.5,5,6.81
1,"142Jan BednarekSouthampton, 26, D(C)",Jan Bednarek Southampton,26, D(C),,,30(1),2633,4,-,10,-,0.6,81.7,2.9,2,6.81
2,"143Dan BurnBrighton, 30, D(CL),M(L)",Dan Burn Brighton,30, D(CL),M(L),,12(1),1023,1,-,4,-,0.5,81.8,2.5,-,6.8
3,"144Pablo FornalsWest Ham, 26, M(CLR)",Pablo Fornals West Ham,26, M(CLR),,,32(4),2804,6,3,4,-,1.2,78.1,0.6,2,6.8
4,"145David RayaBrentford, 26, GK",David Raya Brentford,26, GK,,,24,2160,-,-,1,-,-,64.5,0.4,-,6.8
5,"146Joël VeltmanBrighton, 30, D(CR),M(R)",Joël Veltman Brighton,30, D(CR),M(R),,33(1),2881,1,1,6,-,0.4,79.7,1.7,2,6.8
6,"147Lucas DigneEverton, 28, D(CL),M(L)",Lucas Digne Everton,28, D(CL),M(L),,13,1170,-,-,4,-,0.7,76,1.9,-,6.8
7,"148Calum ChambersAston Villa, 27, D(CR),DMC",Calum Chambers Aston Villa,27, D(CR),DMC,,9(2),829,1,-,1,-,0.3,82.8,2.4,-,6.79
8,"149Pascal GroßBrighton, 30, M(CR),FW",Pascal Groß Brighton,30, M(CR),FW,,24(5),2043,2,4,1,-,0.8,82.8,0.5,1,6.79
9,"150Harvey BarnesLeicester, 24, AM(CL)",Harvey Barnes Leicester,24, AM(CL),,,24(8),2107,6,10,2,-,2.1,76.4,0.8,-,6.79
0,"151Naby KeïtaLiverpool, 27, M(C)",Naby Keïta Liverpool,27, M(C),,,14(9),1175,3,1,3,-,1.1,86,0.3,-,6.79
1,"152Hugo LlorisTottenham, 35, GK",Hugo Lloris Tottenham,35, GK,,,38,3420,-,-,2,-,-,76.8,0.4,-,6.78
2,"153Raphaël VaraneMan Utd, 29, D(C)",Raphaël Varane Man Utd,29, D(C),,,20(2),1829,1,1,-,-,0.4,87.8,2.5,1,6.78
3,"154Demarai GrayEverton, 25, AM(CLR),FW",Demarai Gray Everton,25, AM(CLR),FW,,28(6),2352,5,4,3,-,1.9,81.5,0.1,-,6.78
4,"155Stuart DallasLeeds, 31, D(LR),M(CLR)",Stuart Dallas Leeds,31, D(LR),M(CLR),,34,2929,1,1,5,-,0.9,78.8,0.9,3,6.78
5,"156João PedroWatford, 20, AM(L),FW",João Pedro Watford,20, AM(L),FW,,15(13),1639,3,1,1,-,1.7,69.9,2,-,6.78
6,"157Daniel PodenceWolves, 26, AM(CLR),FW",Daniel Podence Wolves,26, AM(CLR),FW,,15(11),1486,2,3,2,-,1.3,74.1,0.1,-,6.78
7,"158Benjamin WhiteArsenal, 24, D(CR),DMC",Benjamin White Arsenal,24, D(CR),DMC,,32,2880,-,-,3,-,0.4,84.6,1.9,1,6.78
8,"159Douglas LuizAston Villa, 24, M(C)",Douglas Luiz Aston Villa,24, M(C),,,31(3),2720,2,3,7,-,0.7,86.8,0.8,1,6.77
9,"160Ben DaviesTottenham, 29, D(CL),M(L)",Ben Davies Tottenham,29, D(CL),M(L),,28(1),2540,1,1,6,-,0.6,85,2.3,-,6.77
0,"161Callum Hudson-OdoiChelsea, 21, M(CLR)",Callum Hudson-Odoi Chelsea,21, M(CLR),,,11(4),966,1,2,1,-,1.2,85.3,0.3,-,6.77
1,"162Jacob RamseyAston Villa, 21, AM(C)",Jacob Ramsey Aston Villa,21, AM(C),,,29(5),2477,6,1,6,-,1,87,0.5,1,6.77
2,"163Kieran TierneyArsenal, 25, D(CL),M(L)",Kieran Tierney Arsenal,25, D(CL),M(L),,22,1919,1,3,-,-,0.7,82.5,0.5,-,6.77
3,"164Marc GuéhiCrystal Palace, 21, D(C)",Marc Guéhi Crystal Palace,21, D(C),,,36,3223,2,1,4,-,0.5,87.4,1.9,-,6.76
4,"165Pontus JanssonBrentford, 31, D(C)",Pontus Jansson Brentford,31, D(C),,,37,3322,3,1,7,-,0.6,80.9,2.8,-,6.76
