,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
4,"485Sebastian GriesbeckUnion Berlin, 31, D(C),DMC",Sebastian Griesbeck Union Berlin,31, D(C),DMC,,0(1),8,-,-,-,-,-,100,-,-,6.04
5,"486Torben MüselBorussia M.Gladbach, 22, Midfielder",Torben Müsel Borussia M.Gladbach,22, Midfielder,,,0(1),4,-,-,-,-,-,100,-,-,6.04
6,"487Omar MarmoushWolfsburg, 23, AM(L),FW",Omar Marmoush Wolfsburg,23, AM(L),FW,,0(2),22,-,-,-,-,0.5,75,0.5,-,6.03
7,"488Umut TohumcuHoffenheim, 17, Midfielder",Umut Tohumcu Hoffenheim,17, Midfielder,,,0(1),4,-,-,-,-,-,-,-,-,6.03
8,"489Noah WeißhauptFreiburg, 20, Forward",Noah Weißhaupt Freiburg,20, Forward,,,0(10),91,-,-,-,-,-,81,0.1,-,6.03
9,"490Merveille PapelaMainz, 21, Midfielder",Merveille Papela Mainz,21, Midfielder,,,0(5),80,-,-,-,-,0.2,70.8,-,-,6.03
0,"491Abdourahmane BarryGreuther Fuerth, 22, D(C)",Abdourahmane Barry Greuther Fuerth,22, D(C),,,1(7),204,-,-,2,-,0.1,81.4,0.5,-,6.03
1,"492Chris RichardsBayern, 22, D(C)",Chris Richards Bayern,22, D(C),,,0(1),2,-,-,-,-,-,100,-,-,6.02
2,"493Christian FrüchtlBayern, 22, Goalkeeper",Christian Früchtl Bayern,22, Goalkeeper,,,0(1),9,-,-,-,-,-,100,-,-,6.02
3,"494Daniel GinczekWolfsburg, 31, AM(R),FW",Daniel Ginczek Wolfsburg,31, AM(R),FW,,0(2),12,-,-,-,-,0.5,25,-,-,6.02
4,"495Lilian EgloffStuttgart, 19, Midfielder",Lilian Egloff Stuttgart,19, Midfielder,,,0(4),29,-,-,-,-,-,66.7,0.3,-,6.01
5,"496Marten WinklerHertha Berlin, 19, Forward",Marten Winkler Hertha Berlin,19, Forward,,,0(1),25,-,-,-,-,-,57.1,-,-,6.01
6,"497Conor NoßBorussia M.Gladbach, 21, Forward",Conor Noß Borussia M.Gladbach,21, Forward,,,0(3),50,-,-,-,-,0.3,78.6,-,-,6.01
7,"498Ermin BicakcicHoffenheim, 32, D(C)",Ermin Bicakcic Hoffenheim,32, D(C),,,0(1),4,-,-,-,-,-,100,-,-,6
8,"499Immanuel PheraiBorussia Dortmund, 21, AM(L)",Immanuel Pherai Borussia Dortmund,21, AM(L),,,0(1),1,-,-,-,-,-,-,-,-,6
9,"500Lion SemicBorussia Dortmund, 18, Defender",Lion Semic Borussia Dortmund,18, Defender,,,0(1),2,-,-,-,-,-,-,-,-,6
0,"501Luca KilianMainz, 22, D(C)",Luca Kilian Mainz,22, D(C),,,0(1),1,-,-,-,-,-,-,-,-,6
1,"502Naouirou AhamadaStuttgart, 20, Midfielder",Naouirou Ahamada Stuttgart,20, Midfielder,,,0(3),57,-,-,-,-,-,87.5,0.3,-,6
2,"503Nils SeufertGreuther Fuerth, 25, AM(C)",Nils Seufert Greuther Fuerth,25, AM(C),,,1(3),98,-,-,-,-,-,67.7,-,-,6
3,"504Romario RöschMainz, 22, Midfielder",Romario Rösch Mainz,22, Midfielder,,,0(1),1,-,-,-,-,-,-,-,-,6
4,"505Stephan FürstnerMainz, 34, DMC",Stephan Fürstner Mainz,34, DMC,,,0(1),4,-,-,-,-,-,25,-,-,6
5,"506Panagiotis RetsosLeverkusen, 23, D(CLR)",Panagiotis Retsos Leverkusen,23, D(CLR),,,0(4),28,-,-,-,-,0.3,83.3,0.3,-,6
6,"507Fisnik AsllaniHoffenheim, 19, Forward",Fisnik Asllani Hoffenheim,19, Forward,,,0(2),7,-,-,-,-,-,75,-,-,5.99
7,"508Lee Dong-JunHertha Berlin, 25, Midfielder",Lee Dong-Jun Hertha Berlin,25, Midfielder,,,1(3),117,-,-,-,-,0.8,80,-,-,5.99
8,"509Sidney RaebigerRBL, 17, Midfielder",Sidney Raebiger RBL,17, Midfielder,,,0(1),3,-,-,-,-,-,100,-,-,5.98
9,"510Tom BischofHoffenheim, 16, Midfielder",Tom Bischof Hoffenheim,16, Midfielder,,,0(1),13,-,-,-,-,-,50,-,-,5.98
0,"511Gideon JungGreuther Fuerth, 27, D(C),DMC",Gideon Jung Greuther Fuerth,27, D(C),DMC,,1(4),140,-,-,-,-,-,77.8,-,-,5.96
1,"512Marius FunkGreuther Fuerth, 26, GK",Marius Funk Greuther Fuerth,26, GK,,,8,720,-,-,-,-,-,59.9,0.5,-,5.96
2,"513Joscha WoszRBL, 19, Midfielder",Joscha Wosz RBL,19, Midfielder,,,0(1),8,-,-,-,-,-,75,-,-,5.95
3,"514Lennart CzyborraArminia Bielefeld, 23, D(L),M(L)",Lennart Czyborra Arminia Bielefeld,23, D(L),M(L),,1(3),130,-,-,1,-,-,45.2,-,-,5.89
4,"515Antonios PapadopoulosBorussia Dortmund, 22, Midfielder",Antonios Papadopoulos Borussia Dortmund,22, Midfielder,,,0(2),15,-,-,1,-,-,81.8,-,-,5.88
5,"516Thomas DelaneyBorussia Dortmund, 30, DMC",Thomas Delaney Borussia Dortmund,30, DMC,,,0(1),17,-,-,-,-,-,72.7,-,-,5.88
6,"517Josep MartínezRBL, 24, Goalkeeper",Josep Martínez RBL,24, Goalkeeper,,,1,90,-,-,-,-,-,85,1,-,5.86
7,"518Roman BürkiBorussia Dortmund, 31, GK",Roman Bürki Borussia Dortmund,31, GK,,,1,90,-,-,-,-,-,65,-,-,5.85
8,"519Robert TescheBochum, 35, M(C)",Robert Tesche Bochum,35, M(C),,,5(6),349,-,-,2,1,0.2,85.7,0.3,-,5.82
9,"520Jens GrahlEintracht Frankfurt, 33, GK",Jens Grahl Eintracht Frankfurt,33, GK,,,1,90,-,-,-,-,-,79.2,-,-,5.81
0,"521Hugo SiquetFreiburg, 19, D(R),M(R)",Hugo Siquet Freiburg,19, D(R),M(R),,0(1),21,-,-,-,-,-,75,-,-,5.74
1,"522Nick ProschwitzHoffenheim, 35, FW",Nick Proschwitz Hoffenheim,35, FW,,,0(1),26,-,-,-,-,1,75,-,-,5.73
2,"523Benjamin UphoffFreiburg, 28, GK",Benjamin Uphoff Freiburg,28, GK,,,2,180,-,-,-,-,-,59.2,0.5,-,5.1
