Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Riccardo Ciervo Sampdoria,20, Midfielder,,,1(9),-,-,0.3,0.3,0.2,0.1,-,0.1,0.4,6.2,219
Simy Salernitana,30, FW,,,10(9),1,1,1.1,0.4,0.4,0.7,0.5,1.2,1.6,6.2,842
Martin Hongla Verona,24, D(C),DMC,,7(11),1,-,0.5,0.1,0.1,0.3,0.1,0.4,0.7,6.2,644
Michael Svoboda Venezia,23, D(C),,,13(5),-,-,0.4,-,0.1,0.2,-,0.3,0.3,6.19,1234
Mattia Zanotti Inter,19, Defender,,,0(1),-,-,-,1,-,-,-,-,-,6.19,8
Flavio Junior Bianchi Genoa,22, Forward,,,4(3),1,-,1.4,0.4,0.4,0.6,-,0.9,2.1,6.18,317
Simone Pafundi Udinese,16, Midfielder,,,0(1),-,-,1,-,-,-,-,-,-,6.18,22
Matija Nastasic Fiorentina,29, D(C),,,2(3),-,-,0.2,0.2,-,-,-,-,0.2,6.18,217
Goran Pandev Genoa,38, M(CR),FW,,7(13),-,1,0.3,0.5,0.5,1.9,0.3,1.3,1.3,6.17,837
Ebenezer Annan Bologna,19, Defender,,,0(1),-,-,-,-,-,-,-,-,-,6.17,24
Matteo Cancellieri Verona,20, Forward,,,1(11),1,-,0.3,0.3,0.5,0.3,0.1,0.2,0.7,6.17,220
Ronaldo Vieira Sampdoria,23, DMC,,,4(10),-,-,0.1,-,0.1,0.3,-,0.4,0.4,6.16,489
Nani Venezia,35, M(CLR),FW,,3(7),-,1,0.3,0.6,0.5,0.8,-,0.6,0.9,6.16,283
Alasanne Sidibe Atalanta,19, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6.16,5
Tommaso Baldanzi Empoli,19, Midfielder,,,0(1),-,-,-,1,-,-,-,-,2,6.16,16
Matteo Ruggeri Salernitana,19, M(L),,,8(6),-,-,0.2,0.3,0.2,0.1,0.1,0.2,0.6,6.16,681
André Anderson Lazio,22, Midfielder,,,0(4),-,-,0.3,-,0.3,1,-,0.5,0.8,6.16,61
Pawel Jaroszynski Salernitana,27, D(L),M(L),,4(9),-,-,0.2,0.5,0.1,0.4,-,0.1,0.2,6.15,509
Nicola Murru Sampdoria,27, D(L),M(L),,13(9),1,-,0.1,0.3,0.2,0.3,0.1,0.5,0.7,6.15,987
Gabriele Zappa Cagliari,22, D(R),M(R),,11(14),-,-,0.2,0.3,0.4,0.4,-,0.4,0.7,6.15,1140
Hernani Genoa,28, M(CL),,,7(11),-,-,0.6,0.1,0.3,0.6,0.1,0.6,0.9,6.15,681
Luka Romero Lazio,17, Midfielder,,,0(8),-,-,0.1,0.1,0.3,0.4,-,-,0.3,6.15,77
Kaio Jorge Juventus,20, FW,,,0(9),-,-,0.6,0.2,0.1,0.6,0.2,0.2,0.4,6.14,114
Filippo Terracciano Verona,19, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6.14,6
Panagiotis Retsos Verona,23, D(CLR),,,1(4),-,-,-,0.2,-,0.2,-,-,0.4,6.14,49
Aurélien Nguiamba Spezia,23, Midfielder,,,0(3),-,-,-,-,0.3,-,-,-,-,6.13,49
Simone Zaza Torino,30, FW,,,0(10),-,-,0.8,-,0.2,0.2,0.2,0.6,1,6.13,119
Pietro Pellegri Torino,21, FW,,,1(8),1,-,0.6,0.1,0.4,0.7,0.4,0.9,2.2,6.12,210
Raul Moro Prescoli Lazio,19, Forward,,,1(10),-,1,0.2,0.5,0.3,-,-,0.2,0.5,6.12,194
Edoardo Bove Roma,20, Midfielder,,,0(11),1,-,0.1,-,0.1,0.3,-,-,0.4,6.12,63
Marco Benassi Empoli,27, M(CR),,,3(9),-,-,0.6,0.3,0.1,0.4,-,0.1,0.4,6.12,377
Roberto Piccoli Atalanta,21, FW,,,1(11),1,-,0.4,0.3,0.1,0.3,0.3,0.8,0.6,6.12,185
Alessandro Russo Salernitana,18, Midfielder,,,0(1),-,-,-,-,-,1,-,-,-,6.12,28
Axel Tuanzebe Napoli,24, D(CR),,,0(1),-,-,-,-,-,-,-,-,-,6.12,10
Bryan Reynolds Roma,20, D(R),,,0(1),-,-,-,-,-,-,-,-,-,6.12,1
Francesco Cassata Genoa,24, M(CL),,,0(1),-,-,-,-,-,1,-,-,-,6.12,6
Giorgio Cittadini Atalanta,20, Defender,,,0(2),-,-,-,-,-,-,-,-,-,6.12,3
Julian Kristoffersen Salernitana,25, Forward,,,0(1),-,-,1,-,-,-,1,-,-,6.12,6
Borja Mayoral Roma,25, FW,,,1(4),-,-,0.2,-,0.2,0.4,-,-,0.4,6.12,94
Wajdi Kechrida Salernitana,26, D(R),M(R),,10(7),-,1,0.4,0.7,0.1,0.1,0.1,0.6,0.6,6.12,948
Roberto Piccoli Genoa,21, FW,,,2(3),-,-,0.4,0.8,0.4,-,0.2,1.2,2.4,6.12,215
Diego Falcinelli Bologna,30, FW,,,0(6),-,-,0.8,-,0.3,0.7,-,0.5,1,6.11,61
Abdou Harroui Sassuolo,24, DMC,M(R),,3(19),-,-,0.6,0.2,0.1,0.1,-,0.2,0.5,6.11,439
Leonardo Mancuso Empoli,30, FW,,,5(3),1,-,1.5,0.4,-,0.3,0.6,0.5,1.4,6.11,428
David Schnegg Venezia,23, Defender,,,2(2),-,-,-,0.3,0.3,-,0.3,1.3,0.8,6.11,141
Mateusz Praszelik Verona,21, Midfielder,,,0(2),-,-,0.5,-,0.5,0.5,-,-,1.5,6.11,23
Eddie Salcedo Spezia,20, AM(C),FW,,5(7),-,-,1.3,0.4,0.3,0.5,0.2,0.6,1.2,6.1,428
Sam Lammers Atalanta,25, FW,,,0(2),-,-,-,-,-,1.5,-,-,3,6.1,37
Nicolas Viola Bologna,32, DMC,,,1(5),-,-,0.2,-,0.2,0.3,-,-,-,6.1,100
Sydney van Hooijdonk Bologna,22, FW,,,0(4),-,-,-,-,0.3,-,-,0.3,0.5,6.1,35
Gianluca Frabotta Verona,22, D(L),,,0(2),-,-,-,-,-,-,-,-,-,6.1,18
Marco Benassi Fiorentina,27, M(CR),,,1(5),-,-,0.5,0.2,0.2,-,-,-,0.2,6.09,157
Federico Peluso Sassuolo,38, D(CL),M(L),,0(2),-,-,-,-,-,-,-,-,-,6.09,9
Valerio Verre Empoli,28, AM(CL),FW,,4(4),-,1,1.1,0.6,0.6,0.4,-,1.1,1,6.08,310
Mikael Salernitana,23, FW,,,0(7),-,-,0.4,-,-,0.3,-,0.1,0.7,6.08,77
Andrea Conti AC Milan,28, D(R),M(R),,0(1),-,-,-,-,-,-,-,-,-,6.08,12
Tommaso De Nipoti Atalanta,18, Forward,,,0(1),-,-,-,-,-,-,1,-,1,6.08,5
Brian Oddei Sassuolo,19, Forward,,,0(2),-,-,0.5,-,0.5,0.5,-,-,-,6.08,7
Aaron Ramsey Juventus,31, M(CLR),,,1(2),-,-,-,0.7,-,0.3,-,0.3,0.3,6.07,97
Issa Bah Venezia,19, Forward,,,0(1),-,-,-,-,-,1,-,2,-,6.07,9
Luca Stanga AC Milan,20, Defender,,,0(1),-,-,-,-,-,-,-,1,-,6.07,2
Martín Satriano Inter,21, FW,,,0(4),-,-,-,0.3,-,-,-,0.3,0.5,6.07,34
Vedat Muriqi Lazio,28, FW,,,1(10),-,-,0.4,-,0.3,0.8,0.1,0.3,0.9,6.06,208
Daniele Baselli Torino,30, M(C),,,0(6),-,-,0.2,0.2,0.2,0.7,0.2,-,0.5,6.05,141
Francesco Magnanelli Sassuolo,37, DMC,,,2(10),-,-,0.2,0.1,-,0.6,-,0.1,0.1,6.05,265
Stefano Sabelli Genoa,29, D(R),M(R),,5(2),-,-,0.3,0.3,0.1,1.1,-,0.6,1.7,6.05,353
Leonardo Capezzi Salernitana,27, M(C),,,2(3),-,-,-,-,0.4,0.2,-,1,1.4,6.05,175
Ibrahima Mbaye Bologna,27, D(LR),M(LR),,1(5),-,-,-,-,0.3,0.2,0.2,0.2,-,6.04,103
Denis Vavro Lazio,26, D(C),,,0(1),-,-,-,-,-,-,-,-,-,6.04,7
Petar Zovko Spezia,20, Goalkeeper,,,1(1),-,-,-,-,-,0.5,-,-,-,6.04,29
Simone Trimboli Sampdoria,20, Midfielder,,,0(5),-,-,-,0.6,-,-,-,-,0.6,6.04,60
Bjarki Bjarkason Venezia,22, Midfielder,,,0(1),-,-,-,-,-,1,-,-,-,6.03,2
Gerard Yepes Sampdoria,19, Midfielder,,,0(4),-,-,-,-,-,-,-,-,-,6.03,17
Valon Behrami Genoa,37, M(C),,,2(8),-,-,0.1,0.1,0.1,0.5,-,0.3,0.6,6.03,306
Valentin Mihaila Atalanta,22, AM(L),,,0(5),-,-,0.2,-,0.4,-,-,0.2,1.4,6.03,73
Christian Oliva Cagliari,26, M(C),,,0(4),-,-,-,-,-,-,-,-,-,6.03,44
Diego Farias Cagliari,32, AM(CLR),FW,,0(4),-,-,0.3,-,0.3,-,-,-,0.3,6.02,63
Antonio Raimondo Bologna,18, Forward,,,1,-,-,2,-,-,-,3,4,1,6.02,75
Arnór Sigurdsson Venezia,23, AM(CLR),FW,,0(9),-,-,0.1,0.2,0.3,0.1,-,0.6,0.8,6.02,174
Nicolas Galazzi Venezia,21, Forward,,,0(1),-,-,-,-,-,-,-,1,2,6.02,17
Fabio Depaoli Sampdoria,25, D(R),DMC,M(R),1(5),-,-,-,-,0.2,0.2,-,-,0.8,6.02,108
Maximilian Ullmann Venezia,25, D(L),,,2(3),-,-,-,-,0.2,0.2,-,-,0.2,6.02,245
Lys Mousset Salernitana,26, FW,,,2(4),-,1,0.3,0.5,0.5,0.3,0.2,0.3,1.3,6.02,159
Ernesto Torregrossa Sampdoria,29, FW,,,0(10),-,-,-,0.2,-,0.7,0.5,0.1,0.6,6.02,107
Aleksander Buksa Genoa,19, Forward,,,0(4),-,-,-,-,-,-,-,0.3,0.5,6.02,62
Magnus Warming Torino,21, Forward,,,0(4),-,-,-,-,-,-,0.3,0.5,0.3,6.01,53
