Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Amath Ndiaye,25, AM(L),,,9(10),-,1,0.6,0.3,0.8,0.9,0.3,1,1.3,6.28,884
Portu,30, AM(CLR),FW,,17(20),1,2,0.7,0.5,0.2,0.7,0.3,0.5,0.9,6.28,1587
Nolito,35, AM(CL),,,15(17),2,-,0.6,0.5,0.4,0.3,0.2,0.7,0.8,6.28,1384
Abdón Prats,29, FW,,,8(17),3,-,0.7,0.4,0.3,0.6,0.1,0.8,0.7,6.27,636
Nicolás Melamed,21, AM(L),,,7(24),2,-,0.6,0.4,0.7,1.2,0.1,0.6,1,6.27,1102
Alberto Soro,23, AM(LR),,,7(9),-,-,0.4,0.5,0.4,0.3,0.1,0.9,1.1,6.27,575
Näis Djouahra,22, Midfielder,,,1(6),-,-,0.7,0.6,0.4,0.3,0.1,0.7,1.3,6.27,209
Aarón Escandell,26, GK,,,4(1),-,-,-,-,-,0.2,-,-,-,6.27,284
Juan Iglesias,23, D(R),M(R),,7(13),-,1,0.3,0.4,0.3,0.9,0.1,0.4,0.7,6.27,713
Asier Villalibre,24, FW,,,3(16),2,-,1,0.2,0.2,0.7,0.2,0.7,0.9,6.27,540
Allan-Roméo Nyom,34, D(LR),M(R),,3(2),-,-,-,0.4,-,0.6,-,0.2,0.2,6.26,244
Santiago Arzamendia,24, M(L),,,5(9),1,-,0.5,0.1,0.2,0.3,0.1,0.4,0.9,6.26,464
Alejandro Primo,17, Goalkeeper,,,1,-,-,-,-,-,-,-,-,-,6.26,90
Aitor Ruibal,26, D(R),M(LR),,9(10),-,-,1.1,0.6,0.7,0.8,0.1,0.6,1.3,6.26,858
Nicolas Jackson,20, Forward,,,0(9),-,-,0.6,0.3,0.4,0.6,0.1,0.7,1,6.26,158
Unai Núñez,25, D(C),,,7(2),-,-,0.7,0.2,0.3,0.8,-,0.1,0.4,6.25,621
Mario Suárez,35, D(C),M(C),,8(6),-,-,0.6,0.1,0.3,0.4,-,0.1,0.3,6.25,710
Tomás Pina,34, M(C),,,16(13),-,-,0.2,0.1,0.1,1,-,0.2,0.4,6.24,1444
