Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Ozan Kabak Norwich,22, D(C),,,11,-,-,0.4,0.2,1.5,0.9,0.1,0.5,0.4,6.36,925
Pascal Struijk Leeds,22, D(C),DMC,,22(7),1,-,0.4,0.4,0.1,0.3,-,0.2,0.6,6.36,2053
Robin Koch Leeds,25, D(C),DMC,,17(3),-,-,0.7,0.3,0.3,0.5,-,0.3,0.8,6.35,1575
Adam Idah Norwich,21, FW,,,6(11),1,1,0.8,0.3,0.7,0.6,0.6,0.8,1.4,6.35,620
Ayoze Pérez Leicester,28, AM(CLR),FW,,6(8),2,3,0.8,0.8,0.7,0.5,-,0.9,1.1,6.35,444
Ben Gibson Norwich,29, D(CL),,,28,-,-,0.3,0.1,0.2,0.3,-,0.1,0.2,6.35,2495
Marcus Rashford Man Utd,24, AM(CLR),FW,,13(12),4,2,0.9,0.4,0.9,0.7,0.6,1,1.6,6.35,1233
Ainsley Maitland-Niles Arsenal,24, D(LR),M(CLR),,2(6),-,-,0.3,0.4,0.5,0.4,-,0.6,0.5,6.35,265
Shane Long Southampton,35, AM(R),FW,,3(10),1,-,0.7,0.2,0.1,0.6,0.2,0.8,0.9,6.34,303
Morgan Sanson Aston Villa,27, M(CLR),,,3(7),-,-,0.1,0.1,1.3,1.3,-,1,0.5,6.34,352
Jeff Hendrick Newcastle,30, M(CR),,,0(3),1,-,0.3,0.3,-,-,-,0.3,0.7,6.34,70
Jacob Sørensen Norwich,24, D(L),DMC,,6(4),-,-,0.5,-,0.3,0.1,-,0.2,0.2,6.34,601
Sam Greenwood Leeds,20, Forward,,,1(6),-,2,0.6,0.6,0.3,0.3,0.3,-,0.1,6.34,232
Luke Cundle Wolves,20, Midfielder,,,2(2),-,-,-,0.5,-,0.3,-,0.3,0.5,6.34,180
Adam Forshaw Leeds,30, M(C),,,17(5),-,1,0.6,0.6,0.5,0.7,0.1,0.5,1.1,6.33,1530
Jamal Lewis Newcastle,24, D(L),M(L),,4(1),-,-,-,0.2,-,0.4,-,1.4,0.2,6.33,263
Matej Vydra Burnley,30, AM(CL),FW,,5(17),2,3,0.9,0.3,0.3,0.4,0.2,0.4,1.4,6.33,668
Anwar El Ghazi Aston Villa,27, AM(LR),FW,,4(5),1,1,0.9,0.6,0.4,0.6,0.2,0.8,2.4,6.33,383
Tyler Roberts Leeds,23, AM(C),FW,,7(16),1,1,1.3,0.7,0.5,0.9,0.1,0.6,1.1,6.32,979
Shandon Baptiste Brentford,24, M(C),,,9(13),1,-,0.5,0.4,0.9,0.5,-,0.5,1,6.32,905
Joshua Sargent Norwich,22, AM(CR),FW,,18(8),2,1,0.9,0.4,0.6,0.9,0.2,1,2,6.32,1579
Nampalys Mendy Leicester,29, M(C),,,12(2),-,-,0.1,0.1,0.3,1.3,-,0.6,0.9,6.32,1035
Juan Mata Man Utd,34, AM(CLR),,,2(5),-,-,0.7,0.3,0.4,0.6,0.3,0.3,0.9,6.31,232
