Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Loïc Badé,22, D(C),,,11(3),-,1,0.5,0.1,0.3,0.1,-,0.1,0.3,6.62,984
Junior Mwanga,19, Defender,,,1,-,-,-,-,1,-,-,-,-,6.62,90
Jonas Martin,32, M(CL),,,24(5),1,1,0.7,0.3,0.3,0.5,-,0.3,0.6,6.62,2111
Mickael Nade,23, D(C),,,29(1),1,-,0.2,0.2,0.3,1,-,0.3,0.5,6.62,2568
Bamba Dieng,22, AM(L),FW,,11(14),7,1,1.5,0.4,0.2,0.5,0.2,0.5,1,6.61,976
Hicham Boudaoui,22, M(CR),,,21(8),3,2,0.6,0.5,0.8,0.7,0.1,0.8,1.4,6.61,1633
Lucas Da Cunha,20, AM(R),,,5(5),-,1,1,1.3,0.9,0.5,-,0.5,1.5,6.61,392
Xavier Chavalerin,31, DMC,M(L),,31(3),5,2,0.9,0.7,0.4,0.4,0.2,0.4,1.1,6.61,2724
Erik Palmer-Brown,25, D(C),,,19(2),-,-,0.2,0.1,0.2,0.5,-,0.2,0.4,6.61,1739
Birger Meling,27, D(LR),DMC,,20(11),-,4,0.1,0.5,0.2,0.7,0.1,0.2,0.8,6.61,1828
Souleyman Doumbia,25, D(L),M(L),,27,-,1,0.5,0.6,1.7,0.9,-,0.9,2,6.61,2231
Jordan Amavi,28, D(L),M(L),,2,-,-,-,0.5,-,0.5,-,1.5,1,6.61,130
Alexander Nübel,25, GK,,,38,-,-,-,-,-,0.1,-,-,-,6.61,3420
Ibrahim Amadou,29, D(C),DMC,,10,1,-,0.3,0.3,0.6,0.4,-,0.5,0.9,6.61,815
Paul Lasne,33, M(CLR),,,9(6),-,1,0.5,0.5,0.4,1,-,0.7,0.6,6.61,847
Toma Basic,25, M(C),,,3,-,1,0.7,1.7,0.3,0.7,-,-,1.3,6.61,212
Duje Caleta-Car,25, D(C),,,24(2),2,-,0.5,0.1,-,0.2,-,-,0.3,6.6,2062
Lucas Da Cunha,20, AM(R),,,11(4),2,-,1.2,0.9,1.3,0.3,0.1,1.6,1.1,6.6,844
Yoann Salmier,29, D(C),,,30(1),-,1,0.3,0.3,0.4,0.9,-,0.4,0.4,6.6,2671
Florent Mollet,30, AM(CLR),,,32(3),6,2,1.6,0.9,0.4,1.4,0.3,0.9,1.7,6.6,2649
Jens Cajuste,22, DMC,,,4(4),2,-,1.1,0.3,1.1,1,-,0.8,0.8,6.6,365
Dogan Alemdar,19, GK,,,12,-,-,-,-,-,-,-,-,-,6.6,1080
Thiago Mendes,30, D(CR),M(CR),,21(8),1,1,0.6,0.5,0.1,0.6,-,0.5,0.6,6.59,1864
Jérémy Morel,38, D(CL),,,6(3),-,-,0.1,0.1,0.2,0.6,-,0.2,0.4,6.59,602
Bonke Innocent,26, DMC,,,11(1),-,-,0.3,0.3,0.4,0.5,-,0.5,0.8,6.59,878
