Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Nordine Kandil Strasbourg,20, Midfielder,,,0(5),-,1,0.2,0.2,1,0.4,-,1,0.4,6.38,85
Calvin Stengs Nice,23, AM(CR),,,11(13),1,1,0.9,1,0.8,0.3,0.1,1.3,1.8,6.38,1071
Ibrahima Niane Metz,23, AM(L),FW,,20(6),3,1,1.7,0.4,0.3,0.9,0.4,0.6,2.4,6.38,1592
Vincent Manceau Angers,32, D(CLR),,,25(3),-,-,0.1,0.1,0.1,0.5,-,0.2,0.4,6.38,2359
Charles Traoré Nantes,30, D(L),M(L),,7(9),-,-,-,-,0.3,0.4,-,0.1,0.6,6.38,716
Éric Ebimbe PSG,21, AM(CR),,,4(6),-,-,0.4,0.1,0.6,0.4,-,0.6,0.7,6.38,315
Harold-Desty Moukoudi Saint-Etienne,24, D(C),,,17(7),-,-,0.3,0.1,0.4,0.2,-,0.2,0.3,6.37,1658
Marcus Coco Nantes,25, M(LR),FW,,9(15),1,1,0.5,0.3,0.6,1.3,0.2,1,1.1,6.37,925
Alexis Claude Maurice Nice,24, AM(CL),,,0(10),-,2,0.6,0.8,0.3,0.5,-,0.5,0.5,6.37,200
Billal Brahimi Angers,22, Forward,,,3(6),-,1,0.7,0.8,1.2,1,0.1,1.3,1.8,6.37,335
Jimmy Giraudon Troyes,30, D(C),,,18(1),-,-,-,0.2,0.1,0.3,-,0.1,0.2,6.36,1620
Opa Nguette Metz,27, AM(LR),FW,,10(16),2,2,0.9,0.4,1,0.9,0.2,1.5,2.2,6.36,1043
Samuel Moutoussamy Nantes,25, M(CL),,,16(14),-,1,0.5,0.2,0.3,0.4,-,0.3,0.7,6.36,1503
Abdu Conté Troyes,24, D(L),M(L),,17,-,1,0.3,0.5,0.6,0.8,0.1,0.5,1.2,6.36,1356
Eliot Matazo Monaco,20, DMC,,,8(10),-,-,0.2,0.2,0.5,0.4,-,0.3,0.7,6.36,783
Ricardo Mangas Bordeaux,24, D(CL),M(L),,27(2),3,1,0.6,0.6,0.7,1,-,0.4,1.2,6.35,2357
Mauro Icardi PSG,29, FW,,,10(14),4,-,1.2,0.4,0.1,0.3,0.4,0.4,0.6,6.35,1019
Abdel Jalil Zaim Idriss Medioub Bordeaux,24, D(C),,,6(4),-,-,0.3,-,0.3,0.1,-,0.1,0.3,6.35,620
Yoann Touzghar Troyes,35, FW,,,16(12),4,-,1,0.8,0.2,0.7,0.3,0.4,1,6.35,1462
Majeed Waris Strasbourg,30, AM(LR),FW,,2(13),2,-,0.5,0.3,0.8,0.9,0.1,0.3,0.7,6.35,316
Yvann Maçon Saint-Etienne,23, D(LR),M(R),,19(3),-,-,0.7,0.6,0.9,0.5,-,0.6,1.8,6.34,1538
Eric N'jo Troyes,18, Forward,,,0(2),-,-,-,-,0.5,-,-,0.5,1,6.34,95
Jemerson Metz,29, D(CR),DMC,,15,-,-,0.3,0.1,0.2,0.5,-,0.3,0.7,6.34,1207
Yasser Larouci Troyes,21, Defender,,,2(10),-,-,0.3,0.3,0.7,0.7,-,0.3,0.7,6.34,335
Ignatius Ganago Lens,23, AM(LR),FW,,11(17),5,1,1.1,0.4,0.4,0.4,0.4,0.8,1.5,6.34,1020
Fraser Hornby Reims,22, FW,,,4(4),-,-,0.8,0.5,0.3,0.8,0.8,0.6,1.1,6.34,349
Timothée Pembélé Bordeaux,19, D(R),M(R),,17(9),1,1,0.7,0.5,1.6,0.7,-,0.8,2.5,6.34,1421
Roli Pereira De Sa Nantes,25, M(C),,,5(12),-,-,0.3,0.4,0.9,0.3,0.1,0.4,0.5,6.33,571
Mathieu Cafaro Reims,25, AM(CLR),,,3(1),-,-,1.5,0.5,-,0.8,-,0.3,0.8,6.33,194
Jeff Reine-Adélaïde Lyon,24, AM(CLR),FW,,1(9),-,1,0.3,0.8,0.5,0.3,0.1,0.5,0.2,6.33,192
Stéphane Bahoken Angers,30, FW,,,12(17),3,1,0.8,0.3,0.2,0.5,0.1,0.6,1.4,6.33,1096
Mohamed-Ali Cho Angers,18, FW,,,21(11),4,1,1.3,0.4,0.8,1.4,0.3,1,2.8,6.33,1847
Evann Guessand Nice,20, Forward,,,2(18),1,2,0.6,0.3,0.6,0.5,-,0.3,1,6.32,424
Saîf-Eddine Khaoui Clermont Foot,27, AM(CR),,,9(14),1,-,0.8,0.6,0.5,0.7,-,0.6,1,6.32,926
Jean-Phillipe Krasso Saint-Etienne,24, FW,,,5(11),1,1,0.8,0.3,0.9,0.4,0.1,0.9,1.7,6.32,448
Julien Faussurier Brest,35, D(LR),M(R),,4(12),-,1,0.3,0.8,0.1,0.4,0.3,0.1,0.6,6.32,483
Lebo Mothiba Troyes,26, FW,,,5(8),2,-,0.5,0.5,0.2,1.2,0.3,0.6,1.5,6.32,522
Irvin Cardona Brest,24, AM(L),FW,,13(19),4,2,0.8,0.5,0.4,0.4,0.3,0.6,1.4,6.32,1333
Dylan Chambost Troyes,24, M(C),,,9(10),-,1,0.5,0.5,0.1,0.3,0.1,0.2,0.5,6.32,753
Dango Ouattara Lorient,20, AM(R),,,7(18),1,2,1,0.3,0.4,0.8,-,0.4,0.8,6.31,802
Rayan Cherki Lyon,18, AM(R),,,3(13),-,1,0.9,0.8,1.1,0.5,0.2,0.7,1,6.31,432
Islam Slimani Lyon,33, FW,,,6(6),1,1,1,0.5,-,0.4,0.9,0.6,1,6.31,577
M'Baye Niang Bordeaux,27, AM(LR),FW,,7(15),3,1,1.2,0.4,0.2,0.9,0.4,0.7,1.7,6.3,769
Mitchell van Bergen Reims,22, AM(LR),FW,,11(9),-,-,0.6,0.9,0.7,0.2,0.5,0.4,1.8,6.3,987
Angel Gomes Lille,21, AM(CL),FW,,12(12),1,1,0.6,0.6,0.2,0.6,-,0.5,0.7,6.3,955
