,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
132,"133Jordan TorunarighaHertha Berlin, 24, D(CL)",Jordan Torunarigha,24, D(CL),,,6(1),484,-,1,1,-,0.3,81.4,2.1,-,6.72
133,"134Giovanni ReynaBorussia Dortmund, 19, AM(CLR)",Giovanni Reyna,19, AM(CLR),,,6(4),442,2,1,-,-,1.1,83.5,0.5,-,6.72
134,"135Cristian GamboaBochum, 32, D(R)",Cristian Gamboa,32, D(R),,,20(3),1725,1,-,6,-,0.2,72.3,0.9,1,6.72
135,"136Moussa NiakhatéMainz, 26, D(CL)",Moussa Niakhaté,26, D(CL),,,29(1),2567,4,-,1,-,0.4,78.7,1.9,-,6.72
136,"137Corentin TolissoBayern, 27, D(R),M(CR)",Corentin Tolisso,27, D(R),M(CR),,8(7),705,2,1,-,-,1.1,87.6,0.8,-,6.72
137,"138Dani OlmoRBL, 24, AM(CLR),FW",Dani Olmo,24, AM(CLR),FW,,7(12),740,3,3,2,-,1.2,78.4,0.2,2,6.71
138,"139Mark FlekkenFreiburg, 28, GK",Mark Flekken,28, GK,,,32,2880,-,-,-,-,-,66.1,0.1,-,6.71
139,"140Manuel AkanjiBorussia Dortmund, 26, D(CR)",Manuel Akanji,26, D(CR),,,25(1),2263,1,-,3,-,0.5,90.6,2,-,6.71
140,"141Xaver SchlagerWolfsburg, 24, M(C)",Xaver Schlager,24, M(C),,,13(1),1047,-,1,2,-,0.7,76.6,0.9,-,6.71
141,"142PaulinhoLeverkusen, 21, AM(CLR)",Paulinho,21, AM(CLR),,,14(10),1219,4,2,1,-,1.1,82,0.3,1,6.71
142,"143Louis Jordan BeyerBorussia M.Gladbach, 22, D(CR)",Louis Jordan Beyer,22, D(CR),,,14(2),1294,-,-,5,-,0.4,88.2,1.7,-,6.71
143,"144Timo BaumgartlUnion Berlin, 26, D(C)",Timo Baumgartl,26, D(C),,,25,2169,1,2,5,-,0.5,79.3,2.2,-,6.71
144,"145Philipp KlementStuttgart, 29, M(C)",Philipp Klement,29, M(C),,,3(3),338,1,-,-,-,1,83.4,0.2,-,6.7
145,"146Koen CasteelsWolfsburg, 29, GK",Koen Casteels,29, GK,,,28,2520,-,-,1,-,-,75.4,0.3,2,6.7
146,"147Marvin FriedrichUnion Berlin, 26, D(C)",Marvin Friedrich,26, D(C),,,13,1170,-,-,2,1,1.1,74,3,-,6.7
147,"148Suat SerdarHertha Berlin, 25, M(CLR)",Suat Serdar,25, M(CLR),,,27(3),2230,3,-,6,-,1.1,71.4,0.6,3,6.7
148,"149Jeffrey GouweleeuwAugsburg, 30, D(C)",Jeffrey Gouweleeuw,30, D(C),,,29,2578,2,-,9,-,0.4,72.3,1.5,1,6.7
149,"150Ihlas BebouHoffenheim, 28, M(CLR),FW",Ihlas Bebou,28, M(CLR),FW,,25(3),2106,7,2,-,-,1.6,70.3,1.4,1,6.69
150,"151Lukas KlostermannRBL, 26, D(CLR),M(R)",Lukas Klostermann,26, D(CLR),M(R),,17(6),1648,-,1,1,-,0.3,86.2,1,-,6.69
151,"152Piero HincapiéLeverkusen, 20, D(CL)",Piero Hincapié,20, D(CL),,,20(7),1752,1,2,5,-,0.3,81.5,2.1,-,6.69
152,"153Benjamin HenrichsRBL, 25, D(LR),DMC,M(LR)",Benjamin Henrichs,25, D(LR),DMC,M(LR),12(10),1138,3,3,3,-,0.7,79.8,0.3,-,6.69
153,"154Niko GießelmannUnion Berlin, 30, D(CL),M(L)",Niko Gießelmann,30, D(CL),M(L),,25(3),2093,3,6,3,-,1,73.2,0.9,-,6.69
154,"155Diadié SamassékouHoffenheim, 26, DMC",Diadié Samassékou,26, DMC,,,21(3),1665,2,-,7,-,0.6,80.3,1.3,1,6.68
155,"156Waldemar AntonStuttgart, 25, D(CR),DMC",Waldemar Anton,25, D(CR),DMC,,29,2597,2,1,6,1,0.8,84.8,2.1,1,6.68
156,"157Rani KhediraUnion Berlin, 28, D(C),DMC",Rani Khedira,28, D(C),DMC,,32,2765,-,1,6,-,0.4,73.8,1.2,1,6.68
157,"158Matheus CunhaHertha Berlin, 23, AM(CL),FW",Matheus Cunha,23, AM(CL),FW,,1,65,-,1,-,-,2,84.6,-,-,6.68
158,"159Gregor KobelBorussia Dortmund, 24, GK",Gregor Kobel,24, GK,,,29,2566,-,-,-,-,-,79.4,0.1,1,6.68
159,"160Djibril SowEintracht Frankfurt, 25, DMC",Djibril Sow Eintracht,25, DMC,,,28(3),2422,2,3,5,-,0.5,82.9,0.9,-,6.67
160,"161Kevin TrappEintracht Frankfurt, 31, GK",Kevin Trapp Eintracht,31, GK,,,32,2880,-,-,2,-,-,61.5,0.2,1,6.67
161,"162Marc Oliver KempfStuttgart, 27, D(C)",Marc Oliver Kempf,27, D(C),,,10(2),841,3,-,2,-,1.1,82.1,2.4,1,6.67
162,"163Konrad LaimerRBL, 25, D(R),M(CR)",Konrad Laimer,25, D(R),M(CR),,15(11),1246,4,4,2,-,0.6,80.3,0.4,-,6.67
163,"164Charles AránguizLeverkusen, 33, M(C)",Charles Aránguiz,33, M(C),,,16(10),1576,1,3,2,-,0.4,84.7,0.3,-,6.67
164,"165Santiago AscacibarHertha Berlin, 25, DMC",Santiago Ascacibar,25, DMC,,,27(1),2381,-,1,5,-,0.5,82.5,1.2,-,6.66
165,"166Chris RichardsHoffenheim, 22, D(C)",Chris Richards,22, D(C),,,13(6),1301,1,1,1,-,0.5,84.2,2.9,-,6.66
166,"167Lukas NmechaWolfsburg, 23, AM(CR),FW",Lukas Nmecha,23, AM(CR),FW,,18(7),1633,8,-,5,-,2.1,68.2,1.3,2,6.66
167,"168Sebastian PolterBochum, 31, AM(R),FW",Sebastian Polter,31, AM(R),FW,,26(6),2259,10,1,2,-,1.7,53.9,3.4,-,6.66
168,"169Georginio RutterHoffenheim, 20, FW",Georginio Rutter,20, FW,,,13(20),1604,8,2,2,-,1.6,65.1,1.2,1,6.66
169,"170Oliver BaumannHoffenheim, 32, GK",Oliver Baumann,32, GK,,,33,2970,-,-,1,-,-,78.2,0.3,1,6.66
