,Player,Name,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
53,"54Kepa ArrizabalagaChelsea, 27, GK",Kepa Arrizabalaga,27, GK,,,4,360,-,-,-,-,-,78.9,0.3,-,7.02
54,"55James Ward-ProwseSouthampton, 27, M(CR)",James Ward-Prowse,27, M(CR),,,36,3217,10,5,3,1,1.5,86.3,0.8,4,7.01
55,"56TotiWolves, 23, D(C)",Toti,23, D(C),,,4,360,-,-,1,-,0.3,75.6,3.3,-,7.01
56,"57Christian NørgaardBrentford, 28, D(C),DMC",Christian Nørgaard,28, D(C),DMC,,35,3059,3,4,8,-,0.8,79.9,1.4,1,7.0
57,"58N'Golo KantéChelsea, 31, DMC",N'Golo Kanté,31, DMC,,,21(5),1778,2,4,2,-,0.7,86.7,0.5,2,7.0
58,"59FabinhoLiverpool, 28, D(CR),DMC",Fabinho,28, D(CR),DMC,,26(3),2316,5,1,7,-,0.7,87.5,1.5,1,7.0
59,"60Riyad MahrezMan City, 31, AM(CLR),FW",Riyad Mahrez,31, AM(CLR),FW,,15(13),1493,11,5,-,-,2.2,90,0.3,2,7.0
60,"61Paul PogbaMan Utd, 29, M(CL)",Paul Pogba,29, M(CL),,,16(4),1355,1,9,7,1,1.6,83.5,1.8,1,7.0
61,"62Yves BissoumaBrighton, 25, M(C)",Yves Bissouma,25, M(C),,,25(1),2117,1,2,10,-,0.8,89.2,0.6,2,6.99
62,"63Matt TargettNewcastle, 26, D(L),M(L)",Matt Targett,26, D(L),M(L),,16,1440,-,-,1,-,0.4,74.4,1.2,1,6.99
63,"64Wilfried ZahaCrystal Palace, 29, AM(LR),FW",Wilfried Zaha,29, AM(LR),FW,,31(2),2761,14,1,4,1,2.1,79.9,0.4,5,6.99
64,"65Mason GreenwoodMan Utd, 20, AM(R),FW",Mason Greenwood,20, AM(R),FW,,16(2),1281,5,1,1,-,2.7,83.8,0.2,-,6.98
65,"66Dan BurnNewcastle, 30, D(CL),M(L)",Dan Burn,30, D(CL),M(L),,16,1440,-,1,4,-,0.7,78.3,4.3,-,6.98
66,"67Tomas SoucekWest Ham, 27, DMC",Tomas Soucek,27, DMC,,,34(1),3062,5,1,3,-,1.3,76.6,3.8,1,6.98
67,"68Ethan PinnockBrentford, 29, D(C)",Ethan Pinnock,29, D(C),,,32,2698,1,1,1,-,0.5,75.4,4.5,1,6.97
68,"69James TarkowskiBurnley, 29, D(C)",James Tarkowski,29, D(C),,,35,3107,1,2,11,-,0.6,68.8,4.4,1,6.97
69,"70RaphinhaLeeds, 25, AM(LR),FW",Raphinha,25, AM(LR),FW,,34(1),2923,11,3,7,-,2.5,69.3,0.7,4,6.97
70,"71Matt DohertyTottenham, 30, D(LR),M(LR)",Matt Doherty,30, D(LR),M(LR),,9(6),874,2,4,-,-,1.1,83.6,1.1,-,6.96
71,"72RicharlisonEverton, 25, AM(CLR),FW",Richarlison,25, AM(CLR),FW,,28(2),2528,10,5,9,-,2.4,63.4,2.2,3,6.96
72,"73Philippe CoutinhoAston Villa, 29, M(CLR)",Philippe Coutinho,29, M(CLR),,,16(3),1339,5,3,-,-,2.3,83.3,0.3,1,6.96
73,"74JorginhoChelsea, 30, DMC",Jorginho,30, DMC,,,26(3),2279,6,2,5,-,0.6,89.3,0.4,3,6.96
74,"75Rayan Aït-NouriWolves, 21, D(L),M(L)",Rayan Aït-Nouri,21, D(L),M(L),,20(3),1828,1,2,4,-,0.6,76.7,0.7,1,6.96
75,"76Rúben DiasMan City, 25, D(C)",Rúben Dias,25, D(C),,,27(2),2404,2,4,5,-,0.6,93.4,1.8,1,6.96
76,"77Thomas ParteyArsenal, 28, D(R),M(CR)",Thomas Partey,28, D(R),M(CR),,23(1),2032,2,1,5,-,1.8,85.6,1,1,6.96
77,"78Dwight McNeilBurnley, 22, M(LR)",Dwight McNeil,22, M(LR),,,35(3),3114,-,1,1,-,1.4,77.7,0.3,1,6.96
78,"79Sergio ReguilónTottenham, 25, D(L),M(L)",Sergio Reguilón,25, D(L),M(L),,22(3),1923,2,3,4,-,0.8,78.7,1.2,-,6.95
79,"80Wilfred NdidiLeicester, 25, D(C),DMC",Wilfred Ndidi,25, D(C),DMC,,18(1),1619,-,-,4,-,0.7,80.2,2.2,-,6.95
80,"81Jamie VardyLeicester, 35, AM(L),FW",Jamie Vardy,35, AM(L),FW,,20(5),1806,15,2,2,-,2.2,72.5,1,2,6.95
81,"82Marc CucurellaBrighton, 23, D(CL),M(L)",Marc Cucurella,23, D(CL),M(L),,35,3092,1,1,6,-,0.5,82,1.1,1,6.94
82,"83Michail AntonioWest Ham, 32, D(R),M(CLR),FW",Michail Antonio,32, D(R),M(CLR),FW,34(2),2981,10,8,6,1,2.3,67.5,2.2,2,6.94
83,"84Adama TraoréWolves, 26, M(CLR),FW",Adama Traoré,26, M(CLR),FW,,10(10),1065,1,-,-,-,1.2,77.9,0.8,4,6.94
84,"85Lucas DigneAston Villa, 28, D(CL),M(L)",Lucas Digne,28, D(CL),M(L),,16,1272,-,4,2,-,0.6,81.2,1.5,1,6.94
85,"86Cristian RomeroTottenham, 24, D(C)",Cristian Romero,24, D(C),,,21(1),1846,1,-,8,-,0.3,86.7,2,-,6.92
86,"87Hakim ZiyechChelsea, 29, M(CLR)",Hakim Ziyech,29, M(CLR),,,14(9),1317,4,3,3,-,2.3,81.2,0.6,3,6.92
87,"88Jason SteeleBrighton, 31, GK",Jason Steele,31, GK,,,1,90,-,-,-,-,-,88.9,1,-,6.92
88,"89Nathan AkéMan City, 27, D(CL),DMC",Nathan Aké,27, D(CL),DMC,,10(4),921,2,-,-,-,0.4,90.8,2.6,-,6.92
89,"90Dominic Calvert-LewinEverton, 25, AM(L),FW",Dominic Calvert-Lewin,25, AM(L),FW,,15(2),1286,5,2,2,-,1.9,60.3,5.5,2,6.92
90,"91Ben MeeBurnley, 32, D(CL)",Ben Mee,32, D(CL),,,21,1840,3,-,3,-,0.9,70.4,3.2,1,6.91
91,"92Aymeric LaporteMan City, 28, D(CL)",Aymeric Laporte,28, D(CL),,,33,2836,4,-,5,1,1.1,94.8,1.6,-,6.91
92,"93Aaron Wan-BissakaMan Utd, 24, D(R),M(R)",Aaron Wan-Bissaka,24, D(R),M(R),,20,1794,-,-,2,-,0.3,81,1,1,6.91
93,"94Matthew CashAston Villa, 24, D(R),M(CLR)",Matthew Cash,24, D(R),M(CLR),,38,3380,4,3,8,-,1,72.4,1.1,3,6.91
94,"95Ricardo PereiraLeicester, 28, D(LR),M(R)",Ricardo Pereira,28, D(LR),M(R),,13(1),994,1,3,3,-,0.7,79,1.1,-,6.91
95,"96Martin ØdegaardArsenal, 23, AM(CR)",Martin Ødegaard,23, AM(CR),,,32(4),2793,7,4,4,-,1.5,86,0.4,1,6.91
96,"97Youri TielemansLeicester, 25, M(C)",Youri Tielemans,25, M(C),,,29(3),2634,6,4,3,-,1.8,83.5,0.8,3,6.9
97,"98Neco WilliamsLiverpool, 21, D(R)",Neco Williams,21, D(R),,,0(1),7,-,1,-,-,-,100,-,-,6.9
98,"99Ollie WatkinsAston Villa, 26, AM(LR),FW",Ollie Watkins,26, AM(LR),FW,,33(2),2955,11,2,7,-,2.2,70.9,1.9,1,6.9
99,"100Leandro TrossardBrighton, 27, M(CLR),FW",Leandro Trossard,27, M(CLR),FW,,32(2),2812,8,3,2,-,2.2,77.9,0.3,5,6.9
100,"101Scott McTominayMan Utd, 25, D(C),DMC",Scott McTominay,25, D(C),DMC,,28(2),2393,1,1,9,-,0.9,85.6,2.3,2,6.89
101,"102Alex TellesMan Utd, 29, D(L),M(L)",Alex Telles,29, D(L),M(L),,18(3),1660,-,4,1,-,0.5,80.3,1.4,-,6.89
102,"103Andreas ChristensenChelsea, 26, D(C),DMC",Andreas Christensen,26, D(C),DMC,,17(2),1496,-,-,2,-,0.3,90,2.6,-,6.89
103,"104Nathan CollinsBurnley, 21, D(CR)",Nathan Collins,21, D(CR),,,18(1),1670,2,-,2,1,0.8,69.2,3.1,1,6.89
104,"105Ibrahima KonatéLiverpool, 23, D(C)",Ibrahima Konaté,23, D(C),,,11,990,-,-,2,-,0.4,88.1,3.1,-,6.89
105,"106Emmanuel DennisWatford, 24, M(LR),FW",Emmanuel Dennis,24, M(LR),FW,,30(3),2591,10,6,7,1,1.8,68.3,1.4,2,6.89
106,"107Shane DuffyBrighton, 30, D(C)",Shane Duffy,30, D(C),,,15(3),1434,1,-,7,-,1.2,87.4,3.6,2,6.88
107,"108Maximilian KilmanWolves, 25, D(C)",Maximilian Kilman,25, D(C),,,30,2689,1,-,3,-,0.4,85.8,2.2,1,6.87
108,"109Ruben Loftus-CheekChelsea, 26, M(CLR)",Ruben Loftus-Cheek,26, M(CLR),,,13(11),1388,-,2,1,-,0.8,89.7,1.5,-,6.87
109,"110AlissonLiverpool, 29, GK",Alisson,29, GK,,,36,3240,-,1,-,-,-,85.5,0.4,1,6.87
110,"111Wesley FofanaLeicester, 21, D(C)",Wesley Fofana,21, D(C),,,7,630,-,-,2,-,0.4,89,3,-,6.87
111,"112Saïd BenrahmaWest Ham, 26, AM(CLR)",Saïd Benrahma,26, AM(CLR),,,26(6),2184,8,6,-,-,2,81.1,0.3,2,6.87
112,"113Emerson RoyalTottenham, 23, D(R),M(R)",Emerson Royal,23, D(R),M(R),,26(5),2291,1,1,5,-,0.5,82.3,1.1,-,6.87
113,"114FredMan Utd, 29, M(C)",Fred,29, M(C),,,24(4),2036,4,4,5,-,0.5,84.1,0.5,2,6.87
114,"115Oriol RomeuSouthampton, 30, DMC",Oriol Romeu,30, DMC,,,34(2),2899,2,2,9,-,0.7,82,1.9,2,6.87
115,"116Hassane KamaraWatford, 28, D(L),M(L)",Hassane Kamara,28, D(L),M(L),,18(1),1625,1,-,3,1,0.3,70.5,1.6,-,6.86
116,"117Jordan HendersonLiverpool, 31, D(C),M(CLR)",Jordan Henderson,31, D(C),M(CLR),,29(6),2604,2,5,3,-,0.9,85.5,0.5,-,6.86
117,"118Davinson SánchezTottenham, 25, D(C)",Davinson Sánchez,25, D(C),,,17(6),1626,2,-,4,-,0.6,87.8,2,-,6.86
118,"119Josh BrownhillBurnley, 26, M(CR)",Josh Brownhill,26, M(CR),,,32(3),2953,2,3,10,-,0.8,77.4,1.3,2,6.86
119,"120Curtis JonesLiverpool, 21, AM(C)",Curtis Jones,21, AM(C),,,10(5),856,1,1,-,-,1.3,90.5,0.5,-,6.86
120,"121Gabriel MartinelliArsenal, 20, AM(L),FW",Gabriel Martinelli,20, AM(L),FW,,21(8),1866,6,6,1,1,1.8,79.7,0.6,1,6.86
121,"122Diogo DalotMan Utd, 23, D(LR),M(R)",Diogo Dalot,23, D(LR),M(R),,19(5),1799,-,-,4,-,0.5,80.2,1.2,1,6.86
122,"123Liam CooperLeeds, 30, D(C)",Liam Cooper,30, D(C),,,21,1815,-,1,5,-,0.3,83.1,3.9,-,6.85
123,"124Antonio RüdigerChelsea, 29, D(CR)",Antonio Rüdiger,29, D(CR),,,34,3035,3,-,9,-,1.4,88.1,1.6,-,6.85
124,"125Kai HavertzChelsea, 22, M(CR),FW",Kai Havertz,22, M(CR),FW,,22(7),1816,8,3,3,-,1.9,81.3,1.3,1,6.85
125,"126Roberto FirminoLiverpool, 30, M(CLR),FW",Roberto Firmino,30, M(CLR),FW,,10(10),987,5,4,3,-,1.5,78.8,0.7,1,6.85
126,"127Rúben NevesWolves, 25, DMC",Rúben Neves,25, DMC,,,31(2),2663,4,2,9,-,1.3,84,0.6,2,6.85
127,"128James McArthurCrystal Palace, 34, M(CLR)",James McArthur,34, M(CLR),,,15(6),1438,-,3,4,-,0.4,83.1,1,-,6.84
128,"129Romain SaïssWolves, 32, D(C),DMC",Romain Saïss,32, D(C),DMC,,31,2709,2,-,6,-,0.6,80.1,2.4,1,6.84
129,"130Mohammed SalisuSouthampton, 23, D(CL)",Mohammed Salisu,23, D(CL),,,33(1),2972,-,-,8,1,0.7,77.9,3,3,6.83
130,"131Kyle Walker-PetersSouthampton, 25, D(LR),M(R)",Kyle Walker-Peters,25, D(LR),M(R),,29(3),2632,1,2,5,-,0.8,81.3,0.8,3,6.83
131,"132Takehiro TomiyasuArsenal, 23, D(CR)",Takehiro Tomiyasu,23, D(CR),,,20(1),1682,-,1,2,-,0.5,81.1,2.2,1,6.83
132,"133JoelintonNewcastle, 25, AM(CLR),FW",Joelinton,25, AM(CLR),FW,,30(5),2559,4,1,8,-,1.3,77.6,2.8,3,6.83
133,"134Romelu LukakuChelsea, 29, AM(R),FW",Romelu Lukaku,29, AM(R),FW,,16(10),1586,8,-,1,-,1.7,72.9,2,2,6.83
134,"135Lucas MouraTottenham, 29, AM(CLR),FW",Lucas Moura,29, AM(CLR),FW,,19(15),1774,2,6,4,-,1.1,76.7,1.4,3,6.82
135,"136Nélson SemedoWolves, 28, D(LR),M(R)",Nélson Semedo,28, D(LR),M(R),,25,2137,-,1,1,-,0.8,77.4,0.6,-,6.82
136,"137Charlie TaylorBurnley, 28, D(L),M(L)",Charlie Taylor,28, D(L),M(L),,30(1),2731,-,3,3,-,0.2,71.1,1.9,1,6.82
137,"138Ross BarkleyChelsea, 28, M(CLR)",Ross Barkley,28, M(CLR),,,1(5),176,1,-,-,-,1.5,85.1,1,1,6.82
138,"139César AzpilicuetaChelsea, 32, D(CLR),M(R)",César Azpilicueta,32, D(CLR),M(R),,24(3),2075,1,2,3,-,0.4,85.7,1.7,-,6.81
139,"140José SáWolves, 29, GK",José Sá,29, GK,,,37,3286,-,1,3,-,-,63,0.4,5,6.81
140,"141Nick PopeBurnley, 30, GK",Nick Pope,30, GK,,,36,3240,-,-,1,-,-,44.5,0.5,5,6.81
141,"142Jan BednarekSouthampton, 26, D(C)",Jan Bednarek,26, D(C),,,30(1),2633,4,-,10,-,0.6,81.7,2.9,2,6.81
142,"143Dan BurnBrighton, 30, D(CL),M(L)",Dan Burn,30, D(CL),M(L),,12(1),1023,1,-,4,-,0.5,81.8,2.5,-,6.8
