,Player,Name,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
180,"181Vital N'SimbaClermont Foot, 28, D(L)",Vital N'Simba,28, D(L),,,31(3),2791,1,3,4,-,0.6,78.8,0.4,2,6.67
181,"182Akim ZedadkaClermont Foot, 27, D(R)",Akim Zedadka,27, D(R),,,37(1),3338,-,3,5,-,0.8,83.1,0.8,1,6.67
182,"183Nuno MendesPSG, 19, D(L),M(L)",Nuno Mendes,19, D(L),M(L),,18(9),1654,-,1,3,-,0.3,88.1,0.4,-,6.67
183,"184Jason DenayerLyon, 26, D(CR),DMC",Jason Denayer,26, D(CR),DMC,,12(3),1001,3,-,2,-,0.4,93.7,1.1,-,6.67
184,"185Vincent PajotMetz, 31, M(C)",Vincent Pajot,31, M(C),,,27(3),2320,1,-,6,1,0.5,86,0.8,1,6.67
185,"186Rémy CabellaMontpellier, 32, M(CLR),FW",Rémy Cabella,32, M(CLR),FW,,3(2),313,-,-,-,-,0.4,85.1,-,-,6.67
186,"187Tanguy NdombeleLyon, 25, M(C)",Tanguy Ndombele,25, M(C),,,7(4),703,-,2,3,-,0.5,89.2,0.5,-,6.67
187,"188Facundo MedinaLens, 23, D(CL)",Facundo Medina,23, D(CL),,,30(1),2597,1,-,11,-,0.3,89.4,1.2,-,6.67
188,"189Yacine AdliBordeaux, 21, M(C)",Yacine Adli,21, M(C),,,25(11),2265,1,7,4,-,0.9,78.2,0.3,2,6.67
189,"190XekaLille, 27, M(C)",Xeka,27, M(C),,,19(4),1622,3,-,10,-,1,81.2,1,1,6.66
190,"191Danylo IgnatenkoBordeaux, 25, M(C)",Danylo Ignatenko,25, M(C),,,7(4),689,-,3,3,1,1.1,81.9,1.2,-,6.66
191,"192Léo JardimLille, 27, GK",Léo Jardim,27, GK,,,17,1530,-,-,-,-,-,56.8,0.1,1,6.66
192,"193Jean-Kévin DuverneBrest, 24, D(CLR)",Jean-Kévin Duverne,24, D(CLR),,,33(4),3007,1,3,1,-,0.3,74.4,1.1,-,6.66
193,"194Habib MaïgaMetz, 26, DMC,M(R)",Habib Maïga,26, DMC,M(R),,16(1),1274,2,-,6,-,0.6,82.1,1.1,-,6.65
194,"195Didier Lamkel ZéMetz, 25, FW",Didier Lamkel Zé,25, FW,,,8(1),609,3,-,2,-,1.6,72.7,2.3,-,6.65
195,"196Khéphren Thuram-UlienNice, 21, DMC",Khéphren Thuram-Ulien,21, DMC,,,20(16),1897,4,2,4,-,0.6,86.4,0.6,1,6.65
196,"197Elbasan RashaniClermont Foot, 29, AM(LR)",Elbasan Rashani,29, AM(LR),,,22(7),1769,8,3,3,-,1,77.1,0.7,1,6.65
197,"198Kevin GameiroStrasbourg, 35, FW",Kevin Gameiro,35, FW,,,28(7),2397,11,3,-,-,1.9,80.1,0.3,-,6.65
198,"199Haris BelkeblaBrest, 28, DMC",Haris Belkebla,28, DMC,,,26(5),2312,-,-,2,-,0.1,84.3,0.7,-,6.64
199,"200Alberth ElisBordeaux, 26, AM(LR),FW",Alberth Elis,26, AM(LR),FW,,16(4),1416,9,1,2,-,1.6,64.1,1.3,-,6.64
200,"201Johan GastienClermont Foot, 34, DMC",Johan Gastien,34, DMC,,,32,2752,-,1,8,2,0.8,83.4,0.7,1,6.64
201,"202Léo DuboisLyon, 27, D(LR),M(R)",Léo Dubois,27, D(LR),M(R),,20(3),1747,-,-,5,-,0.4,86,0.9,-,6.63
202,"203Renaud RipartTroyes, 29, D(R),M(CLR),FW",Renaud Ripart,29, D(R),M(CLR),FW,22(6),1902,2,2,2,-,1.5,71.8,1.3,-,6.63
203,"204Jason BerthomierClermont Foot, 32, AM(C)",Jason Berthomier,32, AM(C),,,22(7),1744,1,5,-,-,0.8,86.6,0.4,-,6.63
204,"205Dan NdoyeNice, 21, Forward",Dan Ndoye,21, Forward,,,2(1),204,-,1,-,-,1,72,0.7,-,6.63
205,"206Marco BizotBrest, 31, GK",Marco Bizot,31, GK,,,38,3420,-,1,1,-,-,64.7,0.1,2,6.63
206,"207El Bilal TouréReims, 20, FW",El Bilal Touré,20, FW,,,15(6),1201,2,4,2,-,1.6,74.4,2.8,1,6.63
