,Player,Name,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
388,"389Harold-Desty MoukoudiSaint-Etienne, 24, D(C)",Harold-Desty Moukoudi,24, D(C),,,17(7),1658,-,-,3,-,0.3,89,1.2,-,6.37
389,"390Marcus CocoNantes, 25, M(LR),FW",Marcus Coco,25, M(LR),FW,,9(15),925,1,1,1,1,0.5,74.6,1.3,-,6.37
390,"391Alexis Claude MauriceNice, 24, AM(CL)",Alexis Claude Maurice,24, AM(CL),,,0(10),200,-,2,1,-,0.6,86.8,0.1,-,6.37
391,"392Billal BrahimiAngers, 22, Forward",Billal Brahimi,22, Forward,,,3(6),335,-,1,-,-,0.7,76.4,0.2,-,6.37
392,"393Jimmy GiraudonTroyes, 30, D(C)",Jimmy Giraudon,30, D(C),,,18(1),1620,-,-,3,1,-,85.6,0.9,-,6.36
393,"394Opa NguetteMetz, 27, AM(LR),FW",Opa Nguette,27, AM(LR),FW,,10(16),1043,2,2,1,-,0.9,74,0.8,-,6.36
394,"395Samuel MoutoussamyNantes, 25, M(CL)",Samuel Moutoussamy,25, M(CL),,,16(14),1503,-,1,5,-,0.5,85.3,0.3,-,6.36
395,"396Abdu ContéTroyes, 24, D(L),M(L)",Abdu Conté,24, D(L),M(L),,17,1356,-,1,2,-,0.3,73.4,0.5,-,6.36
396,"397Eliot MatazoMonaco, 20, DMC",Eliot Matazo,20, DMC,,,8(10),783,-,-,1,-,0.2,87,0.4,-,6.36
397,"398Ricardo MangasBordeaux, 24, D(CL),M(L)",Ricardo Mangas,24, D(CL),M(L),,27(2),2357,3,1,2,-,0.6,78.9,0.9,-,6.35
398,"399Mauro IcardiPSG, 29, FW",Mauro Icardi,29, FW,,,10(14),1019,4,-,1,-,1.2,80.5,0.2,-,6.35
399,"400Abdel Jalil Zaim Idriss MedioubBordeaux, 24, D(C)",Abdel Jalil Zaim Idriss Medioub,24, D(C),,,6(4),620,-,-,-,-,0.3,80.4,1.4,-,6.35
400,"401Yoann TouzgharTroyes, 35, FW",Yoann Touzghar,35, FW,,,16(12),1462,4,-,-,-,1,80.3,0.9,-,6.35
401,"402Majeed WarisStrasbourg, 30, AM(LR),FW",Majeed Waris,30, AM(LR),FW,,2(13),316,2,-,1,-,0.5,76.2,0.1,-,6.35
402,"403Yvann MaçonSaint-Etienne, 23, D(LR),M(R)",Yvann Maçon,23, D(LR),M(R),,19(3),1538,-,-,7,-,0.7,75.5,0.7,1,6.34
403,"404Eric N'joTroyes, 18, Forward",Eric N'jo,18, Forward,,,0(2),95,-,-,-,-,-,81.5,0.5,-,6.34
404,"405JemersonMetz, 29, D(CR),DMC",Jemerson,29, D(CR),DMC,,15,1207,-,-,3,2,0.3,85,0.9,1,6.34
405,"406Yasser LarouciTroyes, 21, Defender",Yasser Larouci,21, Defender,,,2(10),335,-,-,1,-,0.3,81.3,0.3,-,6.34
406,"407Ignatius GanagoLens, 23, AM(LR),FW",Ignatius Ganago,23, AM(LR),FW,,11(17),1020,5,1,2,-,1.1,74.1,0.7,-,6.34
407,"408Fraser HornbyReims, 22, FW",Fraser Hornby,22, FW,,,4(4),349,-,-,1,-,0.8,56.3,2,-,6.34
408,"409Timothée PembéléBordeaux, 19, D(R),M(R)",Timothée Pembélé,19, D(R),M(R),,17(9),1421,1,1,3,-,0.7,73,0.4,-,6.34
409,"410Roli Pereira De SaNantes, 25, M(C)",Roli Pereira De Sa,25, M(C),,,5(12),571,-,-,1,-,0.3,82.9,0.4,1,6.33
410,"411Mathieu CafaroReims, 25, AM(CLR)",Mathieu Cafaro,25, AM(CLR),,,3(1),194,-,-,2,-,1.5,60.9,0.8,-,6.33
411,"412Jeff Reine-AdélaïdeLyon, 24, AM(CLR),FW",Jeff Reine-Adélaïde,24, AM(CLR),FW,,1(9),192,-,1,-,-,0.3,83.9,-,-,6.33
412,"413Stéphane BahokenAngers, 30, FW",Stéphane Bahoken,30, FW,,,12(17),1096,3,1,-,-,0.8,74.8,0.8,-,6.33
413,"414Mohamed-Ali ChoAngers, 18, FW",Mohamed-Ali Cho,18, FW,,,21(11),1847,4,1,2,2,1.3,75.3,0.5,1,6.33
414,"415Evann GuessandNice, 20, Forward",Evann Guessand,20, Forward,,,2(18),424,1,2,3,-,0.6,68,0.6,-,6.32
415,"416Saîf-Eddine KhaouiClermont Foot, 27, AM(CR)",Saîf-Eddine Khaoui,27, AM(CR),,,9(14),926,1,-,1,-,0.8,77.2,-,-,6.32
416,"417Jean-Phillipe KrassoSaint-Etienne, 24, FW",Jean-Phillipe Krasso,24, FW,,,5(11),448,1,1,-,-,0.8,63.6,1.1,-,6.32
417,"418Julien FaussurierBrest, 35, D(LR),M(R)",Julien Faussurier,35, D(LR),M(R),,4(12),483,-,1,1,-,0.3,75.1,0.3,-,6.32
418,"419Lebo MothibaTroyes, 26, FW",Lebo Mothiba,26, FW,,,5(8),522,2,-,1,-,0.5,80.3,0.6,-,6.32
419,"420Irvin CardonaBrest, 24, AM(L),FW",Irvin Cardona,24, AM(L),FW,,13(19),1333,4,2,2,-,0.8,68.4,0.4,-,6.32
420,"421Dylan ChambostTroyes, 24, M(C)",Dylan Chambost,24, M(C),,,9(10),753,-,1,-,-,0.5,79.5,0.7,-,6.32
421,"422Dango OuattaraLorient, 20, AM(R)",Dango Ouattara,20, AM(R),,,7(18),802,1,2,4,-,1,65.3,0.8,-,6.31
422,"423Rayan CherkiLyon, 18, AM(R)",Rayan Cherki,18, AM(R),,,3(13),432,-,1,1,-,0.9,79.4,0.1,-,6.31
423,"424Islam SlimaniLyon, 33, FW",Islam Slimani,33, FW,,,6(6),577,1,1,3,-,1,78.1,0.9,-,6.31
424,"425M'Baye NiangBordeaux, 27, AM(LR),FW",M'Baye Niang,27, AM(LR),FW,,7(15),769,3,1,3,-,1.2,59.5,1.4,-,6.3
425,"426Mitchell van BergenReims, 22, AM(LR),FW",Mitchell van Bergen,22, AM(LR),FW,,11(9),987,-,-,1,-,0.6,72.5,0.2,-,6.3
426,"427Angel GomesLille, 21, AM(CL),FW",Angel Gomes,21, AM(CL),FW,,12(12),955,1,1,3,-,0.6,80.2,0.2,-,6.3
427,"428Cesc FàbregasMonaco, 35, M(CL),FW",Cesc Fàbregas,35, M(CL),FW,,0(2),36,-,-,-,-,-,80.9,-,-,6.3
428,"429Deiver MachadoLens, 28, M(L)",Deiver Machado,28, M(L),,,5(17),513,-,1,1,-,0.1,85.3,0.3,-,6.29
429,"430Yvan NeyouSaint-Etienne, 25, DMC",Yvan Neyou,25, DMC,,,12(4),941,-,-,2,1,0.4,85,0.4,-,6.29
430,"431Enzo EbosseAngers, 23, D(C)",Enzo Ebosse,23, D(C),,,21(6),1888,-,-,1,-,0.1,85.1,0.9,-,6.29
431,"432Cheick Tidiane SabalyMetz, 23, Forward",Cheick Tidiane Sabaly,23, Forward,,,2(4),149,-,-,-,-,0.3,88.6,-,-,6.29
432,"433Quentin BoisgardLorient, 25, AM(CLR)",Quentin Boisgard,25, AM(CLR),,,9(16),953,1,1,3,-,0.6,77.3,0.4,-,6.28
433,"434Paul NardiLorient, 28, GK",Paul Nardi,28, GK,,,22,1980,-,-,1,-,-,49.1,0.1,-,6.28
434,"435Lucas Gourna-DouathSaint-Etienne, 18, DMC",Lucas Gourna-Douath,18, DMC,,,20(11),1808,1,-,7,-,0.4,88.5,0.4,-,6.28
435,"436Sambou SissokoReims, 23, Midfielder",Sambou Sissoko,23, Midfielder,,,0(8),170,-,-,-,-,0.4,69.6,0.5,-,6.28
436,"437Jean-Claude BillongClermont Foot, 28, D(C)",Jean-Claude Billong,28, D(C),,,10(5),977,-,-,2,-,0.3,85.2,2,-,6.28
437,"438Tom LacouxBordeaux, 20, DMC,M(R)",Tom Lacoux,20, DMC,M(R),,11(2),915,-,-,5,-,0.2,79.3,0.3,-,6.28
438,"439Igor SilvaLorient, 25, D(R),M(R)",Igor Silva,25, D(R),M(R),,17(11),1572,-,-,3,-,0.5,78.6,0.4,-,6.28
439,"440Álvaro GonzálezMarseille, 32, D(C)",Álvaro González,32, D(C),,,5(1),451,-,-,1,-,0.3,95.4,0.7,-,6.28
440,"441Karim AzamoumTroyes, 32, M(CR)",Karim Azamoum,32, M(CR),,,4(3),387,-,-,2,-,0.4,70,1,-,6.27
441,"442Papa Ndiaga YadeMetz, 22, AM(L)",Papa Ndiaga Yade,22, AM(L),,,5(13),690,-,1,3,-,0.4,78.7,0.2,-,6.27
442,"443N'Dri KoffiReims, 20, Forward",N'Dri Koffi,20, Forward,,,3(7),374,1,-,1,-,0.9,63.4,0.6,1,6.27
443,"444Kevin N'DoramMetz, 26, DMC",Kevin N'Doram,26, DMC,,,16(3),1239,-,-,5,-,0.4,84.2,0.8,-,6.27
444,"445Danijel PetkovicAngers, 29, GK",Danijel Petkovic,29, GK,,,15,1350,-,-,1,-,-,72.5,0.3,-,6.26
445,"446Tinotenda KadewereLyon, 26, AM(R),FW",Tinotenda Kadewere,26, AM(R),FW,,3(12),498,1,-,-,1,1.2,83.8,0.4,-,6.26
446,"447Hianga'a M'BockBrest, 22, DMC",Hianga'a M'Bock,22, DMC,,,9(5),798,-,-,3,-,0.6,89.4,0.8,-,6.25
447,"448Amadou Salif MbengueMetz, 20, Midfielder",Amadou Salif Mbengue,20, Midfielder,,,5(7),606,-,-,4,-,0.3,83.9,0.4,-,6.25
448,"449VágnerMetz, 26, FW",Vágner,26, FW,,,0(3),84,-,-,1,-,0.3,65.5,-,-,6.25
449,"450Romain HamoumaSaint-Etienne, 35, M(CLR),FW",Romain Hamouma,35, M(CLR),FW,,7(15),883,2,1,2,-,1,77.4,0.2,-,6.25
450,"451Eduardo CamavingaRennes, 19, DMC",Eduardo Camavinga,19, DMC,,,1(3),142,-,-,-,-,-,90.3,0.8,-,6.25
451,"452Romain Del CastilloRennes, 26, AM(LR),FW",Romain Del Castillo,26, AM(LR),FW,,0(3),26,-,-,-,-,0.3,75,-,-,6.25
452,"453Billal BrahimiNice, 22, Forward",Billal Brahimi,22, Forward,,,2(9),371,-,-,1,-,0.4,80.3,0.2,-,6.24
453,"454Jean-Armel Kana-BiyikMetz, 32, D(C)",Jean-Armel Kana-Biyik,32, D(C),,,8(2),667,-,-,1,-,0.1,86.7,0.4,-,6.24
454,"455Adil AouchicheSaint-Etienne, 19, AM(CL)",Adil Aouchiche,19, AM(CL),,,11(24),1068,-,4,2,-,0.6,81.3,0.3,-,6.24
455,"456Ambroise OyongoMontpellier, 30, D(LR),M(L)",Ambroise Oyongo,30, D(LR),M(L),,7(4),657,1,-,5,-,0.5,75.7,0.4,-,6.24
456,"457MexerBordeaux, 33, D(C)",Mexer,33, D(C),,,14(2),1227,1,-,2,-,0.3,84.5,1.4,-,6.24
457,"458El Chadaille BitshiabuPSG, 17, Defender",El Chadaille Bitshiabu,17, Defender,,,0(1),4,-,-,-,-,-,100,1,-,6.24
458,"459Sofiane AlakouchMetz, 23, D(R)",Sofiane Alakouch,23, D(R),,,0(4),157,-,-,1,-,0.3,79.8,-,-,6.24
459,"460Thibault KlidjeBordeaux, 20, Forward",Thibault Klidje,20, Forward,,,0(5),81,-,-,-,-,0.2,78.6,0.2,-,6.23
460,"461Domagoj BradaricLille, 22, D(L)",Domagoj Bradaric,22, D(L),,,2(13),409,-,-,2,-,0.1,78.9,0.4,-,6.23
461,"462Brandon DominguesTroyes, 22, Midfielder",Brandon Domingues,22, Midfielder,,,1(10),223,1,-,-,-,0.4,73,-,-,6.23
462,"463Brayann PereiraLens, 19, Defender",Brayann Pereira,19, Defender,,,0(2),13,-,-,-,-,-,86.7,-,-,6.23
463,"464Kaj SierhuisReims, 24, FW",Kaj Sierhuis,24, FW,,,1(1),80,-,-,-,-,1,82.6,0.5,-,6.23
464,"465Aïmen MoueffekSaint-Etienne, 21, DMC",Aïmen Moueffek,21, DMC,,,4(10),426,-,-,1,-,0.3,88.4,0.6,-,6.23
465,"466Gabriel SilvaSaint-Etienne, 31, D(LR),M(L)",Gabriel Silva,31, D(LR),M(L),,9(4),714,-,-,1,-,0.1,73.9,0.5,-,6.23
466,"467Sambou SoumanoLorient, 21, Forward",Sambou Soumano,21, Forward,,,4(17),435,3,-,1,-,0.9,60.2,0.9,-,6.23
467,"468Myron BoaduMonaco, 21, FW",Myron Boadu,21, FW,,,7(24),945,4,1,-,-,0.7,76.6,0.5,1,6.22
468,"469Waniss TaibiAngers, 20, Midfielder",Waniss Taibi,20, Midfielder,,,1(6),127,-,-,2,-,0.1,77.9,0.4,-,6.22
469,"470Bradley BarcolaLyon, 19, Forward",Bradley Barcola,19, Forward,,,2(9),258,-,1,-,-,0.5,70.1,0.5,-,6.21
470,"471Patrick BergLens, 24, M(C)",Patrick Berg,24, M(C),,,2(12),297,-,-,-,-,0.1,83.2,0.2,-,6.21
471,"472Léo LeroyMontpellier, 22, DMC",Léo Leroy,22, DMC,,,7(17),620,-,-,3,-,0.3,80.3,0.5,-,6.21
472,"473Bryan Djile NokoueSaint-Etienne, 20, Defender",Bryan Djile Nokoue,20, Defender,,,0(2),56,-,-,-,-,-,65,-,-,6.21
473,"474William MikelbrencisMetz, 18, M(R)",William Mikelbrencis,18, M(R),,,8(1),615,-,1,-,-,0.7,75,0.1,-,6.2
474,"475Issouf SissokhoBordeaux, 20, M(C)",Issouf Sissokho,20, M(C),,,6(1),439,-,-,1,1,0.4,87,0.1,-,6.2
475,"476Adrian GrbicLorient, 25, FW",Adrian Grbic,25, FW,,,4(12),510,1,-,-,-,0.8,63.8,0.9,-,6.2
476,"477Felix LemarechalMonaco, 18, Midfielder",Felix Lemarechal,18, Midfielder,,,0(1),8,-,-,-,-,-,75,-,-,6.2
477,"478Jimmy BriandBordeaux, 36, M(LR),FW",Jimmy Briand,36, M(LR),FW,,1(16),212,2,1,1,-,0.6,84,0.4,-,6.2
478,"479Suk Hyun-JunTroyes, 30, FW",Suk Hyun-Jun,30, FW,,,0(9),145,-,-,-,-,0.9,83.8,1.1,-,6.19
479,"480Yannis M'BembaNantes, 20, Defender",Yannis M'Bemba,20, Defender,,,0(2),4,-,-,-,-,1,100,1,-,6.19
480,"481Jordan TellClermont Foot, 24, Forward",Jordan Tell,24, Forward,,,1(14),279,1,1,1,-,0.5,85.9,0.3,-,6.19
481,"482Habib DiarraStrasbourg, 18, Midfielder",Habib Diarra,18, Midfielder,,,1(3),107,-,-,1,-,-,85.2,0.5,-,6.18
482,"483Leny YoroLille, 16, Defender",Leny Yoro,16, Defender,,,0(1),12,-,-,-,-,-,100,-,-,6.17
483,"484Mamadou FofanaMetz, 24, D(C),DMC",Mamadou Fofana,24, D(C),DMC,,0(1),32,-,-,-,-,-,60,-,-,6.17
484,"485Romain SalinRennes, 37, GK",Romain Salin,37, GK,,,1,90,-,-,-,-,-,88,1,-,6.17
485,"486Arial MendyClermont Foot, 27, D(L)",Arial Mendy,27, D(L),,,9(9),791,-,-,1,-,0.6,83.2,0.3,-,6.17
486,"487Grejohn KyeiClermont Foot, 26, FW",Grejohn Kyei,26, FW,,,4(10),391,-,1,1,-,0.8,69.6,1,-,6.17
487,"488Karol FilaStrasbourg, 23, D(R)",Karol Fila,23, D(R),,,7(9),562,-,-,3,-,-,82.5,0.4,-,6.17
488,"489Ismaël BouraLens, 21, M(L)",Ismaël Boura,21, M(L),,,1(4),95,-,-,-,-,0.2,86.8,0.2,-,6.17
489,"490Jérémy PiedLille, 33, D(LR),M(CLR)",Jérémy Pied,33, D(LR),M(CLR),,0(2),12,-,-,-,-,-,70,0.5,-,6.17
490,"491Valon BerishaReims, 29, M(CL)",Valon Berisha,29, M(CL),,,5(8),456,-,1,-,1,0.3,73,0.3,-,6.16
491,"492Yannick CahuzacLens, 37, DMC",Yannick Cahuzac,37, DMC,,,7(11),613,-,-,1,1,0.1,86.3,0.3,-,6.16
492,"493Benoît CostilBordeaux, 34, GK",Benoît Costil,34, GK,,,25,2250,-,-,1,-,-,67.2,0.3,1,6.16
493,"494Nicholas GioacchiniMontpellier, 21, Forward",Nicholas Gioacchini,21, Forward,,,3(25),476,-,2,-,-,0.4,63.8,0.7,-,6.16
494,"495Nemanja RadonjicMarseille, 26, M(LR)",Nemanja Radonjic,26, M(LR),,,0(1),17,-,-,-,-,-,90,-,-,6.16
495,"496Renaud EmondNantes, 30, FW",Renaud Emond,30, FW,,,2(4),189,-,-,-,-,0.2,62.5,0.8,-,6.16
496,"497Willem GeubbelsNantes, 20, Forward",Willem Geubbels,20, Forward,,,4(18),532,2,1,1,-,0.5,73.1,0.5,-,6.15
497,"498Gerson RodriguesTroyes, 26, AM(CL),FW",Gerson Rodrigues,26, AM(CL),FW,,9(3),849,1,1,6,-,1.9,73.7,1.3,-,6.15
498,"499Darío BenedettoMarseille, 32, FW",Darío Benedetto,32, FW,,,0(2),52,-,-,-,-,1.5,75,1,-,6.15
499,"500Luis HenriqueMarseille, 20, M(L)",Luis Henrique,20, M(L),,,7(13),695,-,1,-,-,0.3,79.7,-,-,6.15
500,"501Corentin JeanLens, 26, AM(LR),FW",Corentin Jean,26, AM(LR),FW,,1(16),242,1,-,2,-,0.4,77.4,0.2,-,6.14
501,"502Lesley UgochukwuRennes, 18, Midfielder",Lesley Ugochukwu,18, Midfielder,,,3(15),398,1,-,2,-,0.2,87,0.2,-,6.14
502,"503FransérgioBordeaux, 31, M(C),FW",Fransérgio,31, M(C),FW,,14(12),1255,-,1,8,-,0.5,72,1,-,6.14
503,"504Enzo Tchato MbiayiMontpellier, 19, Defender",Enzo Tchato Mbiayi,19, Defender,,,0(1),7,-,-,-,-,-,100,-,-,6.14
504,"505Louis MafoutaMetz, 27, FW",Louis Mafouta,27, FW,,,5(10),524,2,-,-,-,0.6,78.6,0.7,-,6.14
505,"506Bakary SakoSaint-Etienne, 34, M(L),FW",Bakary Sako,34, M(L),FW,,1(6),151,-,-,-,-,0.9,71.8,0.6,-,6.14
506,"507Abdoulaye BambaAngers, 32, D(LR),M(R)",Abdoulaye Bamba,32, D(LR),M(R),,4(6),455,-,-,1,-,0.1,77.9,0.6,-,6.13
507,"508Chrislain MatsimaMonaco, 20, Defender",Chrislain Matsima,20, Defender,,,1(6),131,-,-,-,-,0.1,83.9,0.6,-,6.13
508,"509Dion Moisés SahiStrasbourg, 20, Forward",Dion Moisés Sahi,20, Forward,,,0(8),121,-,-,-,-,0.6,85.4,0.1,-,6.13
509,"510Cheikh NiasseLille, 22, Midfielder",Cheikh Niasse,22, Midfielder,,,0(4),40,-,-,1,-,-,83.3,1,-,6.13
510,"511Nassim ChadliTroyes, 20, Midfielder",Nassim Chadli,20, Midfielder,,,1(7),92,-,-,1,-,0.3,66.7,0.1,-,6.13
511,"512Mahamé SibyStrasbourg, 25, Midfielder",Mahamé Siby,25, Midfielder,,,0(2),15,-,-,-,-,-,50,1,-,6.13
512,"513Rafiki SaidBrest, 22, Midfielder",Rafiki Said,22, Midfielder,,,0(14),110,-,-,1,-,0.4,74.5,0.3,-,6.12
513,"514Djeidi GassamaPSG, 18, Forward",Djeidi Gassama,18, Forward,,,0(1),1,-,-,-,-,-,100,-,-,6.12
514,"515Thomas FontaineLorient, 31, D(C)",Thomas Fontaine,31, D(C),,,2,168,-,-,1,-,-,86,1,-,6.12
515,"516Enzo CrivelliSaint-Etienne, 27, AM(L),FW",Enzo Crivelli,27, AM(L),FW,,0(4),98,-,-,-,-,0.8,61.9,1,-,6.12
516,"517ThulerMontpellier, 23, D(C)",Thuler,23, D(C),,,10(6),855,-,-,1,1,0.1,83.5,0.9,-,6.12
517,"518Jonathan IglesiasClermont Foot, 33, DMC",Jonathan Iglesias,33, DMC,,,5(10),571,-,-,-,-,0.1,88.6,0.1,-,6.12
518,"519Sekou YansanéPSG, 19, Forward",Sekou Yansané,19, Forward,,,0(1),16,-,-,-,-,-,100,-,-,6.11
519,"520Mamadou CamaraTroyes, 21, Forward",Mamadou Camara,21, Forward,,,0(3),38,-,-,-,-,0.3,69.2,0.7,-,6.11
520,"521Marin JakolisAngers, 25, Forward",Marin Jakolis,25, Forward,,,2(8),224,-,-,-,-,0.9,77.3,0.3,-,6.11
521,"522Dilane BakwaBordeaux, 19, Forward",Dilane Bakwa,19, Forward,,,0(6),44,-,-,-,-,0.3,50,0.5,-,6.1
522,"523Charles BoliLens, 23, Midfielder",Charles Boli,23, Midfielder,,,0(4),29,-,-,-,-,-,83.3,0.3,-,6.1
523,"524Mehdi ZerkaneBordeaux, 22, AM(R)",Mehdi Zerkane,22, AM(R),,,0(6),78,-,-,-,-,0.2,90,0.2,-,6.1
524,"525Andy DioufRennes, 19, Midfielder",Andy Diouf,19, Midfielder,,,0(5),11,-,-,-,-,-,70,-,-,6.1
525,"526Paul BaysseBordeaux, 34, D(CR)",Paul Baysse,34, D(CR),,,0(2),9,-,-,-,-,-,50,-,-,6.1
526,"527Anastasios DonisReims, 25, AM(CR),FW",Anastasios Donis,25, AM(CR),FW,,3(10),364,-,-,-,1,0.8,72.3,0.2,-,6.1
527,"528Mathys TelRennes, 17, Forward",Mathys Tel,17, Forward,,,0(7),50,-,-,-,-,0.4,75,-,-,6.09
528,"529El Hadji DieyeSaint-Etienne, 20, Midfielder",El Hadji Dieye,20, Midfielder,,,0(5),33,-,-,-,-,0.4,28.6,0.2,-,6.08
529,"530Jerome PhojoClermont Foot, 29, Defender",Jerome Phojo,29, Defender,,,0(1),5,-,-,-,-,-,66.7,-,-,6.08
530,"531Sacha DelayeMontpellier, 20, Forward",Sacha Delaye,20, Forward,,,3(7),249,-,1,-,-,0.3,75.3,0.1,-,6.08
531,"532Arnaud Kalimuendo-MuingaPSG, 20, FW",Arnaud Kalimuendo-Muinga,20, FW,,,0(2),6,-,-,-,-,-,100,-,-,6.07
532,"533Warren TchimbembéMetz, 24, Midfielder",Warren Tchimbembé,24, Midfielder,,,1(8),202,-,-,-,-,-,88.3,0.1,-,6.07
533,"534Loris BenitoBordeaux, 30, D(CL),M(L)",Loris Benito,30, D(CL),M(L),,1,62,-,-,-,-,-,80.9,-,-,6.07
534,"535Loum TchaounaRennes, 18, Forward",Loum Tchaouna,18, Forward,,,0(10),79,-,-,-,-,0.2,63.6,0.2,-,6.07
535,"536Lohann DoucetNantes, 19, Midfielder",Lohann Doucet,19, Midfielder,,,0(2),5,-,-,-,-,-,70,-,-,6.07
536,"537Youssouph BadjiBrest, 20, FW",Youssouph Badji,20, FW,,,1(8),130,-,-,-,-,0.2,64.7,0.8,-,6.06
537,"538Pierre-Yves HamelLorient, 28, FW",Pierre-Yves Hamel,28, FW,,,0(3),27,-,-,1,-,-,57.1,0.7,-,6.06
538,"539Xavi SimonsPSG, 19, Midfielder",Xavi Simons,19, Midfielder,,,1(5),127,-,-,1,-,0.3,81.4,0.3,-,6.06
539,"540Assane DiousséSaint-Etienne, 24, DMC",Assane Dioussé,24, DMC,,,0(4),21,-,-,-,-,-,97.1,0.3,-,6.06
540,"541Josue AlbertClermont Foot, 30, Defender",Josue Albert,30, Defender,,,0(2),20,-,-,-,-,0.5,80,-,-,6.06
541,"542Ignacio RamírezSaint-Etienne, 25, Forward",Ignacio Ramírez,25, Forward,,,1(4),123,-,-,-,-,0.4,70,0.2,-,6.05
542,"543Sead KolasinacMarseille, 28, D(CL),DMC,M(L)",Sead Kolasinac,28, D(CL),DMC,M(L),6(8),440,-,1,-,-,-,79.8,0.4,-,6.05
543,"544Pierre-Yves HamelClermont Foot, 28, FW",Pierre-Yves Hamel,28, FW,,,6(11),518,-,-,2,-,0.8,73.2,1.4,-,6.05
544,"545Derek Mazou-SackoTroyes, 17, Midfielder",Derek Mazou-Sacko,17, Midfielder,,,0(2),2,-,-,-,-,-,-,-,-,6.05
545,"546Moussa DoumbiaReims, 27, AM(CL),FW",Moussa Doumbia,27, AM(CL),FW,,0(4),82,-,-,-,-,1,84.8,-,-,6.04
546,"547Redwan BourlèsLorient, 19, Midfielder",Redwan Bourlès,19, Midfielder,,,0(4),13,-,-,-,-,-,60,0.3,-,6.04
547,"548Alexandre LetellierPSG, 31, GK",Alexandre Letellier,31, GK,,,0(1),7,-,-,-,-,-,100,-,-,6.04
548,"549Alpha SissokoSaint-Etienne, 25, D(R)",Alpha Sissoko,25, D(R),,,1,46,-,-,1,-,-,71.4,-,-,6.04
549,"550Antonin BobichonAngers, 26, AM(CL)",Antonin Bobichon,26, AM(CL),,,0(4),34,-,-,-,-,-,80,-,-,6.04
550,"551Oriol BusquetsClermont Foot, 23, D(C),DMC",Oriol Busquets,23, D(C),DMC,,2(7),196,-,-,-,-,0.1,89.4,0.1,-,6.03
551,"552Mathys SabanSaint-Etienne, 20, Midfielder",Mathys Saban,20, Midfielder,,,0(3),71,-,-,1,-,-,91.7,-,-,6.03
552,"553Noah FatarAngers, 20, Midfielder",Noah Fatar,20, Midfielder,,,0(3),4,-,-,-,-,-,33.3,-,-,6.03
553,"554Baptiste MouazanLorient, 20, Midfielder",Baptiste Mouazan,20, Midfielder,,,1(2),95,-,-,-,-,0.3,77.4,-,-,6.03
554,"555Matthis AblineRennes, 19, Forward",Matthis Abline,19, Forward,,,1(6),99,-,-,-,-,0.3,77.8,-,-,6.02
555,"556Nathan BitumazalaPSG, 19, Midfielder",Nathan Bitumazala,19, Midfielder,,,0(1),10,-,-,-,-,-,87.5,-,-,6.02
556,"557Casimir NingaAngers, 29, AM(LR),FW",Casimir Ninga,29, AM(LR),FW,,3(13),401,-,-,2,-,0.6,81.8,0.1,-,6.02
557,"558Ibrahima BaldéLens, 19, Forward",Ibrahima Baldé,19, Forward,,,0(4),53,-,-,-,-,-,66.7,0.5,-,6.02
558,"559Maghnes AklioucheMonaco, 20, Midfielder",Maghnes Akliouche,20, Midfielder,,,0(7),48,-,-,1,-,0.3,95.2,0.1,-,6.02
559,"560Levi LumekaTroyes, 23, Forward",Levi Lumeka,23, Forward,,,0(5),63,-,-,-,-,-,69.2,-,-,6.01
560,"561Yanis GuermoucheMontpellier, 21, Forward",Yanis Guermouche,21, Forward,,,0(3),10,-,-,-,-,-,100,-,-,6.01
561,"562Aboubacar SidibeClermont Foot, 26, Midfielder",Aboubacar Sidibe,26, Midfielder,,,0(1),5,-,-,-,-,-,80,-,-,6.01
562,"563Ismaël GharbiPSG, 18, Midfielder",Ismaël Gharbi,18, Midfielder,,,0(1),1,-,-,-,-,-,100,-,-,6.01
563,"564Yanis LhérySaint-Etienne, 19, Forward",Yanis Lhéry,19, Forward,,,0(5),67,-,-,-,-,0.4,75,0.2,-,6.01
564,"565Wilson IsidorMonaco, 21, AM(L)",Wilson Isidor,21, AM(L),,,0(4),47,-,-,-,-,0.3,47.1,1,-,6.0
565,"566Edouard MichutPSG, 19, Midfielder",Edouard Michut,19, Midfielder,,,0(5),67,-,1,-,1,-,94.4,-,-,6.0
566,"567Gautier LarsonneurBrest, 25, GK",Gautier Larsonneur,25, GK,,,1,1,-,-,1,-,-,-,-,-,6.0
567,"568Georges MikautadzeMetz, 21, FW",Georges Mikautadze,21, FW,,,0(1),1,-,-,-,-,2,-,-,-,6.0
568,"569Ismaël DoukouréStrasbourg, 18, Defender",Ismaël Doukouré,18, Defender,,,0(1),16,-,-,-,-,-,33.3,-,-,6.0
569,"570Jonathan VaraneLens, 20, Forward",Jonathan Varane,20, Forward,,,0(1),1,-,-,-,-,-,100,-,-,6.0
570,"571Lamine GhezaliSaint-Etienne, 22, Midfielder",Lamine Ghezali,22, Midfielder,,,0(1),1,-,-,-,-,-,50,-,-,6.0
571,"572Lebo MothibaStrasbourg, 26, FW",Lebo Mothiba,26, FW,,,0(1),1,-,-,-,-,-,-,-,-,6.0
572,"573Mehdi ChahiriStrasbourg, 25, AM(L)",Mehdi Chahiri,25, AM(L),,,0(1),16,-,-,-,-,-,20,1,-,6.0
