,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
96,"97Antoine GriezmannAtletico, 31, AM(CLR),FW",Antoine Griezmann,31, AM(CLR),FW,,21(5),1709,3,4,3,-,1.7,80.7,1.2,-,6.8
97,"98Stefan SavicAtletico, 31, D(C)",Stefan Savic,31, D(C),,,28,2440,-,-,12,-,0.5,82.3,2.6,-,6.8
98,"99William CarvalhoReal Betis, 30, DMC",William Carvalho,30, DMC,,,20(13),1806,2,3,6,-,1,88,1,1,6.8
99,"100Alejandro CatenaRayo Vallecano, 27, D(C)",Alejandro Catena,27, D(C),,,36,3240,2,2,8,-,0.6,81.3,3.4,1,6.8
100,"101Thibaut CourtoisReal Madrid, 30, GK",Thibaut Courtois,30, GK,,,36,3240,-,-,1,-,-,79.2,0.2,-,6.79
101,"102Omar AldereteValencia, 25, D(C)",Omar Alderete,25, D(C),,,28(1),2412,2,-,15,-,0.6,60.8,2.4,1,6.79
102,"103Oussama IdrissiCadiz, 26, AM(LR)",Oussama Idrissi,26, AM(LR),,,11(1),910,1,1,2,-,1.8,81.7,-,1,6.79
103,"104Kevin VázquezCelta Vigo, 29, D(R)",Kevin Vázquez,29, D(R),,,16(1),1332,-,1,3,-,0.2,78.3,1.1,-,6.79
104,"105GaviBarcelona, 17, AM(CL)",Gavi,17, AM(CL),,,28(6),2331,2,5,9,1,0.9,89.3,0.9,1,6.79
105,"106RafinhaReal Sociedad, 29, M(CLR)",Rafinha,29, M(CLR),,,13(4),1060,1,-,3,-,0.8,88.5,0.8,-,6.78
106,"107Samuel ChukwuezeVillarreal, 23, AM(CR)",Samuel Chukwueze,23, AM(CR),,,12(15),1330,3,3,4,-,1.2,75.2,0.3,1,6.78
107,"108Nacho VidalOsasuna, 27, D(R)",Nacho Vidal,27, D(R),,,33(2),2906,-,1,9,-,0.6,71,2,-,6.78
108,"109Denis SuárezCelta Vigo, 28, M(CLR)",Denis Suárez,28, M(CLR),,,33(5),2839,4,6,4,-,0.6,83.6,0.4,1,6.78
109,"110Diego LópezEspanyol, 40, GK",Diego López,40, GK,,,36,3179,-,-,4,-,-,68.6,0.4,1,6.78
110,"111Alex BerenguerAthletic Bilbao, 26, D(LR),M(CLR),FW",Alex Berenguer,26, D(LR),M(CLR),FW,24(10),2174,3,6,8,-,1.4,71.5,1.5,3,6.78
111,"112Cristiano PicciniValencia, 29, D(R)",Cristiano Piccini,29, D(R),,,3(3),322,1,-,1,-,0.5,65.7,0.3,1,6.77
112,"113Edgar BadiaElche, 30, GK",Edgar Badia,30, GK,,,24,2160,-,-,2,-,-,63.9,0.4,2,6.77
113,"114Aritz ElustondoReal Sociedad, 28, D(CR)",Aritz Elustondo,28, D(CR),,,22(8),2102,4,1,3,1,0.5,83.8,1.9,3,6.77
114,"115ReinildoAtletico, 28, D(CL),M(L)",Reinildo,28, D(CL),M(L),,15(2),1300,-,-,5,-,0.1,83.6,1.4,-,6.77
115,"116Lucas OcamposSevilla, 27, M(CLR),FW",Lucas Ocampos,27, M(CLR),FW,,23(7),2128,6,4,7,-,1.7,82.3,0.9,2,6.76
116,"117Óscar De MarcosAthletic Bilbao, 33, D(LR),M(CR)",Óscar De Marcos,33, D(LR),M(CR),,19(3),1685,1,2,4,-,0.1,74.2,1,-,6.76
117,"118Yassine BounouSevilla, 31, GK",Yassine Bounou,31, GK,,,31,2790,-,2,2,-,-,74,0.2,2,6.76
118,"119Juan MirandaReal Betis, 22, D(L)",Juan Miranda,22, D(L),,,9(4),782,-,2,3,-,0.5,79.1,0.9,-,6.76
119,"120Sergiño DestBarcelona, 21, D(LR),M(R)",Sergiño Dest,21, D(LR),M(R),,17(4),1516,-,3,2,-,0.6,92.4,0.3,-,6.76
120,"121Federico ValverdeReal Madrid, 23, M(CLR)",Federico Valverde,23, M(CLR),,,19(12),1832,-,1,2,-,1.1,89.7,0.5,-,6.76
121,"122Ante BudimirOsasuna, 30, FW",Ante Budimir,30, FW,,,20(8),1741,8,2,3,-,1.6,58,3.9,2,6.76
122,"123Martín ZubimendiReal Sociedad, 23, DMC",Martín Zubimendi,23, DMC,,,26(10),2587,2,1,4,-,0.6,85.7,1.8,1,6.76
123,"124José CampañaLevante, 29, M(CLR)",José Campaña,29, M(CLR),,,16(4),1429,2,2,6,1,0.7,85.9,0.9,1,6.75
124,"125David AlabaReal Madrid, 29, D(CL),M(CL)",David Alaba,29, D(CL),M(CL),,30,2645,2,3,2,-,0.7,92.6,0.5,1,6.75
125,"126Diego CarlosSevilla, 29, D(C)",Diego Carlos,29, D(C),,,34,2961,3,-,2,1,0.9,87.6,2.4,1,6.75
126,"127Edgar GonzálezReal Betis, 25, D(C),DMC",Edgar González,25, D(C),DMC,,14(7),1457,1,1,6,-,0.2,88,1.5,-,6.74
127,"128Diego RicoReal Sociedad, 29, D(CL),M(L)",Diego Rico,29, D(CL),M(L),,19(2),1647,-,-,4,-,0.5,75.6,1.2,-,6.74
128,"129Adama TraoréBarcelona, 26, M(CLR),FW",Adama Traoré,26, M(CLR),FW,,4(7),379,-,2,-,-,0.8,85.2,0.5,1,6.74
