,Name,Market value
1437,Zaydou Youssouf,€4.00m
1440,Aimen Moueffek,€1.50m
1443,Adil Aouchiche,€6.00m
1446,Ryad Boudebouz,€2.00m
1449,Bilal Benkhedim,€400Th.
1452,Denis Bouanga,€8.00m
1455,Arnaud Nordin,€4.00m
1458,Bakary Sako,€400Th.
1461,Sada Thioub,€2.00m
1464,Maxence Rivera,€600Th.
1467,Wahbi Khazri,€4.00m
1470,Enzo Crivelli,€1.80m
1473,Romain Hamouma,€1.00m
1476,Ouparine Djoco,€1.80m
1479,Arthur Desmas,€1.20m
1482,Lucas Margueron,€150Th.
1485,Cédric Hountondji,€3.00m
1488,Alidu Seidu,€2.00m
1491,Jean-Claude Billong,€1.00m
1494,Florent Ogier,€700Th.
1497,Josué Albert,€300Th.
1500,Vital Nsimba,€2.50m
1503,Arial Mendy,€700Th.
1506,Akim Zedadka,€4.00m
1509,Jérôme Phojo,€300Th.
1512,Salis Abdul Samed,€3.00m
1515,Yohann Magnin,€2.00m
1518,Oriol Busquets,€1.20m
1521,Johan Gastien,€800Th.
1524,Fred Gnalega,€150Th.
1527,Saîf-Eddine Khaoui,€1.50m
1530,Jason Berthomier,€1.20m
1533,Naël Jaby,€250Th.
1536,Lucas Da Cunha,€4.00m
1539,Elbasan Rashani,€2.50m
1542,Jim Allevinah,€2.00m
1545,Jodel Dossou,€1.80m
1548,Mohamed Bayo,€12.00m
1551,Grejohn Kyei,€1.20m
1554,Pierre-Yves Hamel,€1.20m
1557,Benoît Costil,€1.50m
1560,Gaëtan Poussin,€1.00m
1563,Davy Rouyard,€150Th.
1566,Tidiane Malbec,€150Th.
1569,Anel Ahmedhodzic,€6.00m
1572,Stian Gregersen,€1.50m
1575,Mexer,€1.00m
1578,Marcelo,€1.00m
1581,Paul Baysse,€800Th.
1584,Abdel Medioub,€600Th.
1587,Gideon Mensah,€2.50m
1590,Ricardo Mangas,€1.50m
1593,Timothée Pembélé,€6.00m
1596,Enock Kwateng,€3.00m
1599,Jean Onana,€5.00m
1602,Josuha Guilavogui,€3.50m
1605,Fransérgio,€2.50m
1608,Danylo Ignatenko,€1.50m
1611,Tom Lacoux,€800Th.
1614,Issouf Sissokho,€500Th.
1617,Yacine Adli,€9.00m
1620,Javairô Dilrosun,€6.00m
1623,Dilane Bakwa,€400Th.
1626,Alberth Elis,€6.50m
1629,Rémi Oudin,€5.00m
1632,Mehdi Zerkane,€1.50m
1635,Amadou Traoré,€400Th.
1638,Ui-jo Hwang,€7.00m
1641,M'Baye Niang,€4.00m
1644,Sékou Mara,€3.00m
1647,Jimmy Briand,€600Th.
